row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,91.570.869.233,23.159.245.366,152.0,,91570869233.0,23159245366.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,17,223.193.964.308,75.995.199.499,153.0,17.0,223193964308.0,75995199499.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,17.411.530.059.912,18.928.112.953.631,200.0,,17411530059912.0,18928112953631.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,271.101.804.917,277.516.804.917,210.0,,271101804917.0,277516804917.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,6,5.600.000.200,6.300.000.200,211.0,6.0,5600000200.0,6300000200.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,8,265.501.804.717,271.216.804.717,216.0,8.0,265501804717.0,271216804717.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,12.509.813.118.851,14.336.420.190.238,220.0,,12509813118851.0,14336420190238.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,12.508.492.677.824,14.333.364.467.464,221.0,12.0,12508492677824.0,14333364467464.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,43.537.464.563.257,42.891.304.952.017,222.0,,43537464563257.0,42891304952017.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,223,,(31.028.971.885.433),(28.557.940.484.553),223.0,,-31028971885433.0,-28557940484553.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,1.320.441.027,3.055.722.774,227.0,13.0,1320441027.0,3055722774.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,22.219.536.282,21.823.536.282,228.0,,22219536282.0,21823536282.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(20.899.095.255),(18.767.813.508),229.0,,-20899095255.0,-18767813508.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,1.685.517.889.556,1.064.574.052.577,240.0,,1685517889556.0,1064574052577.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,14,1.685.517.889.556,1.064.574.052.577,242.0,14.0,1685517889556.0,1064574052577.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,2.707.393.172.017,2.890.880.282.869,250.0,,2707393172017.0,2890880282869.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,15.1,2.534.292.623.978,2.723.868.213.739,252.0,151.0,2534292623978.0,2723868213739.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,15.2,234.800.000.000,184.800.000.000,253.0,152.0,234800000000.0,184800000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,15.2,(61.699.451.961),(17.787.930.870),254.0,152.0,-61699451961.0,-17787930870.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,237.704.074.571,358.721.623.030,260.0,,237704074571.0,358721623030.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,213.270.405.057,302.263.683.566,261.0,11.0,213270405057.0,302263683566.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,29.3,24.433.669.514,56.457.939.464,262.0,293.0,24433669514.0,56457939464.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,54.979.483.924.113,56.902.290.813.532,270.0,,54979483924113.0,56902290813532.0
