row_label_raw,row_label_full,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phần,Số cuối năm > Giá trị ghi số (triệu VND),Số cuối năm > Giá trị hợp lý (triệu VND),Số cuối năm > Tỉ lệ vốn nằm giữ trực tiếp (iii),Số đầu năm > Số lượng cổ phần,Số đầu năm > Giá trị ghi số (triệu VND),Số đầu năm > Giá trị hợp lý (triệu VND),Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp (iii),numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phần,numeric__Số cuối năm > Giá trị ghi số (triệu VND),numeric__Số cuối năm > Giá trị hợp lý (triệu VND),numeric__Số cuối năm > Tỉ lệ vốn nằm giữ trực tiếp (iii),numeric__Số đầu năm > Số lượng cổ phần,numeric__Số đầu năm > Giá trị ghi số (triệu VND),numeric__Số đầu năm > Giá trị hợp lý (triệu VND),numeric__Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp (iii)
Công ty VinFast Auto,Công ty VinFast Auto,Công ty VinFast Auto,,1.185.010.424,450.293,104.453.858,"50,65%",1.185.010.424,450.293,120.588.474,"50,67%",,1185010424.0,450293.0,104453858.0,0.5065,1185010424.0,450293.0,120588474.0,0.5067
Công ty Vinpearl Cửa Hội,Công ty Vinpearl Cửa Hội,Công ty Vinpearl Cửa Hội,(6),-,-,-,-,126.370.900,1.855.145,(ii),"99,99%",-6.0,,,,,126370900.0,1855145.0,,0.9998999999999999
Các công ty con khác,Các công ty con khác,Các công ty con khác,"(7), (8), (9)",,7.345.449,,,,5.558.704,,,,,7345449.0,,,,5558704.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,242.932.140,,,,184.716.166,,,,,242932140.0,,,,184716166.0,,
Dự phòng đầu tư vào công ty con (v),Dự phòng đầu tư vào công ty con (v),Dự phòng đầu tư vào công ty con (v),,,(11.930.457),,,,(19.463.455),,,,,-11930457.0,,,,-19463455.0,,
(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,(i) Đây là các công ty trách nhiệm hữu hạn.,,,,,,,,,
(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,(ii) Công ty chưa thu thập được thông tin cần thiết để xác định giá trị hợp lý của khoản đầu tư này.,,,,,,,,,
(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,(iii) Thông tin của các công ty con bao gồm tỷ lệ biểu quyết và tỷ lệ lợi ích được trình bày tại Phụ lục 1.,,,,,,,,,
(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,(iv) Khoản đầu tư vào các cổ phiếu ưu đãi cổ tức của công ty con này với các điều khoản chính được trình bày tại mục (1) dưới đây.,,,,,,,,,
"(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.","(v) Chủ yếu bao gồm dự phòng đầu tư vào Công ty Vinsmart, Công ty VinAcademy và Công ty Vintech.",,,,,,,,,
