row_label_raw,row_label_full,Bên cho vay,Loại tiền,31/12/2018 VND,1/1/2018 VND,numeric__Loại tiền,numeric__31/12/2018 VND,numeric__1/1/2018 VND
Khoản vay 5,"Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan > Khoản vay 5",Khoản vay 5,VND,300.000.000.000,-,,300000000000.0,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,,,
Khoản vay 6,Ngân hàng TMCP Ngoại thương Việt Nam > Khoản vay 6,Khoản vay 6,VND,-,141.151.969.667,,,141151969667.0
Khoản vay 7,Ngân hàng TMCP Ngoại thương Việt Nam > Khoản vay 7,Khoản vay 7,USD,-,386.495.000.000,,,386495000000.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,,,
Khoản vay 8,Ngân hàng TMCP Quân đội > Khoản vay 8,Khoản vay 8,VND,1.364.639.205.779,1.029.431.351.660,,1364639205779.0,1029431351660.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,,,
Khoản vay 9,Ngân hàng TMCP Hàng hải Việt Nam > Khoản vay 9,Khoản vay 9,USD,-,325.269.962.608,,,325269962608.0
Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,,,
Khoản vay 10,Ngân hàng TMCP An Bình > Khoản vay 10,Khoản vay 10,USD,-,529.374.865.825,,,529374865825.0
Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,,,
Khoản vay 11,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam > Khoản vay 11,Khoản vay 11,VND,22.484.736.412,561.500.918.161,,22484736412.0,561500918161.0
"Ngân hàng Citibank, N.A,","Ngân hàng Citibank, N.A,","Ngân hàng Citibank, N.A,","Ngân hàng Citibank, N.A,","Ngân hàng Citibank, N.A,","Ngân hàng Citibank, N.A,",,,
Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,,,
Khoản vay 12,Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 12,Khoản vay 12,VND,317.121.228.150,-,,317121228150.0,
"Ngân hàng United Overseas Bank,","Ngân hàng United Overseas Bank,","Ngân hàng United Overseas Bank,","Ngân hàng United Overseas Bank,","Ngân hàng United Overseas Bank,","Ngân hàng United Overseas Bank,",,,
Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,Chi nhánh Thành phố Hồ Chí Minh,,,
Khoản vay 13,Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 13,Khoản vay 13,VND,135.467.261.751,-,,135467261751.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,,
Khoản vay 14,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Khoản vay 14,Khoản vay 14,VND,1.378.354.608.081,-,,1378354608081.0,
,,,,4.892.447.982.953,6.831.894.847.293,,4892447982953.0,6831894847293.0
