row_label_raw,row_label_full,CHỈ TIÊU,Mãsố,31/12/2024 > VND,01/01/2025Trình bày lại > VND,Chênh lệch > VND,numeric__Mãsố,numeric__31/12/2024 > VND,numeric__01/01/2025Trình bày lại > VND,numeric__Chênh lệch > VND
Doanh thu hoạt động tài chính,BẢO CẢO KẾT QUẢ KINH DOANH > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,252.527.065.396,192.077.065.396,(60.450.000.000),21.0,252527065396.0,192077065396.0,-60450000000.0
Chi phí tài chính,BẢO CẢO KẾT QUẢ KINH DOANH > Chi phí tài chính,Chi phí tài chính,22,133.834.374.116,72.023.315.911,(61.811.058.205),22.0,133834374116.0,72023315911.0,-61811058205.0
Tổng lợi nhuận kế toán trước thuế,BẢO CẢO KẾT QUẢ KINH DOANH > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,70.122.651.265,71.483.709.470,1.361.058.205,50.0,70122651265.0,71483709470.0,1361058205.0
Chi phí thuế TNDN hiện hành,BẢO CẢO KẾT QUẢ KINH DOANH > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,15.496.397.241,15.768.608.882,272.211.641,51.0,15496397241.0,15768608882.0,272211641.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,BẢO CẢO KẾT QUẢ KINH DOANH > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,54.626.254.024,55.715.100.588,1.088.846.564,60.0,54626254024.0,55715100588.0,1088846564.0
BẢO CẢO LƯU CHUYÊN TIỀN TỆ,BẢO CẢO LƯU CHUYÊN TIỀN TỆ,BẢO CẢO LƯU CHUYÊN TIỀN TỆ,BẢO CẢO LƯU CHUYÊN TIỀN TỆ,BẢO CẢO LƯU CHUYÊN TIỀN TỆ,BẢO CẢO LƯU CHUYÊN TIỀN TỆ,BẢO CẢO LƯU CHUYÊN TIỀN TỆ,,,,
Lợi nhuận trước thuế,BẢO CẢO LƯU CHUYÊN TIỀN TỆ > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,70.122.651.265,71.483.709.470,1.361.058.205,1.0,70122651265.0,71483709470.0,1361058205.0
"Lãi, lỗ từ hoạt động đầu tư","BẢO CẢO LƯU CHUYÊN TIỀN TỆ > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,(252.527.065.396),(192.077.065.396),60.450.000.000,5.0,-252527065396.0,-192077065396.0,60450000000.0
Chi phí lãi vay,BẢO CẢO LƯU CHUYÊN TIỀN TỆ > Chi phí lãi vay,Chi phí lãi vay,06,133.834.374.116,72.023.315.911,(61.811.058.205),6.0,133834374116.0,72023315911.0,-61811058205.0
"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","BẢO CẢO LƯU CHUYÊN TIỀN TỆ > Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,94.416.334.843,108.967.320.242,14.550.985.399,11.0,94416334843.0,108967320242.0,14550985399.0
"Tăng, giảm chi phí trả trước","BẢO CẢO LƯU CHUYÊN TIỀN TỆ > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,(23.329.514.310),(85.140.572.515),(61.811.058.205),12.0,-23329514310.0,-85140572515.0,-61811058205.0
Tiền lãi vay đã trả,BẢO CẢO LƯU CHUYÊN TIỀN TỆ > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(120.423.966.245),(73.163.893.439),47.260.072.806,14.0,-120423966245.0,-73163893439.0,47260072806.0
