row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.063.649.295.572,4.124.294.690.101,225.025.572.863,24.050.893.238,53.661.187.135,6.490.681.638.909,2063649295572.0,4124294690101.0,225025572863.0,24050893238.0,53661187135.0,6490681638909.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,192.521.023.891,415.108.064.586,16.696.843.170,1.376.207.819,22.890.272.569,648.592.412.035,192521023891.0,415108064586.0,16696843170.0,1376207819.0,22890272569.0,648592412035.0
Tăng từ tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,19.723.380.178,1.838.348.368,-,-,21.561.728.546,,19723380178.0,1838348368.0,,,21561728546.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,44.934.770.116,21.234.634.035,2.559.803.703,(172.856.059),(68.556.351.795),-,44934770116.0,21234634035.0,2559803703.0,-172856059.0,-68556351795.0,
"Phân loại lại sang công cụ, dụng cụtheo quyết toán","GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại sang công cụ, dụng cụtheo quyết toán","Phân loại lại sang công cụ, dụng cụtheo quyết toán",-,(2.696.181.447),-,-,-,(2.696.181.447),,-2696181447.0,,,,-2696181447.0
Bàn và thuê lại tài sản cố định thuệtài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Bàn và thuê lại tài sản cố định thuệtài chính,Bàn và thuê lại tài sản cố định thuệtài chính,-,(126.109.263.323),-,-,-,(126.109.263.323),,-126109263323.0,,,,-126109263323.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.914.587.424),(56.430.999.993),(9.602.839.618),(574.194.407),-,(69.522.621.442),-2914587424.0,-56430999993.0,-9602839618.0,-574194407.0,,-69522621442.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,582.333.772,250.589.614,-,679.727,833.603.113,,582333772.0,250589614.0,,679727.0,833603113.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.298.190.502.155,4.395.706.657.909,236.768.318.100,24.680.050.591,7.995.787.636,6.963.341.316.391,2298190502155.0,4395706657909.0,236768318100.0,24680050591.0,7995787636.0,6963341316391.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.191.913.827.273,2.616.793.179.691,58.072.637.469,3.907.193.068,132.625.499.279,5.003.312.336.780,2191913827273.0,2616793179691.0,58072637469.0,3907193068.0,132625499279.0,5003312336780.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.256.978.545.115,2.663.247.203.815,51.024.529.366,3.325.132.769,2.463.075.141,4.977.038.486.206,2256978545115.0,2663247203815.0,51024529366.0,3325132769.0,2463075141.0,4977038486206.0
