row_label_raw,row_label_full,col_0,col_1,31/12/2025triệu đồng,31/12/2024triệu đồng,numeric__col_1,numeric__31/12/2025triệu đồng,numeric__31/12/2024triệu đồng
Ông Đỗ Văn Tiến,Ông Đỗ Văn Tiến,Ông Đỗ Văn Tiến,Thành viên Ban Kiểm soát(Từ ngày 15 tháng 6 năm 2024),1.080,443,,1080.0,443.0
Ông Đỗ Văn Hưng,Ông Đỗ Văn Hưng,Ông Đỗ Văn Hưng,Thành viên Ban Kiểm soát(Đến ngày 15 tháng 6 năm 2024),-,388,,,388.0
"3. Tiền lương của Tổng Giám đốc, các Phó Tổng Giám đốc, Thành viên Ban Điều hành","3. Tiền lương của Tổng Giám đốc, các Phó Tổng Giám đốc, Thành viên Ban Điều hành","3. Tiền lương của Tổng Giám đốc, các Phó Tổng Giám đốc, Thành viên Ban Điều hành",,31.904,29.015,,31904.0,29015.0
Ông Phạm Như Ánh,Ông Phạm Như Ánh,Ông Phạm Như Ánh,Tổng Giám đốc,4.114,3.248,,4114.0,3248.0
Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Phó Tổng Giám đốc,3.444,3.044,,3444.0,3044.0
Ông Trần Minh Đạt,Ông Trần Minh Đạt,Ông Trần Minh Đạt,Phó Tổng Giám đốc,3.099,2.618,,3099.0,2618.0
Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Phó Tổng Giám đốc,3.270,2.941,,3270.0,2941.0
Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Phó Tổng Giám đốc,2.799,2.440,,2799.0,2440.0
Ông Lê Quốc Minh,Ông Lê Quốc Minh,Ông Lê Quốc Minh,Phó Tổng Giám đốc,2.774,2.416,,2774.0,2416.0
Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Phó Tổng Giám đốc,2.028,1.851,,2028.0,1851.0
Ông Vũ Thành Trung,Ông Vũ Thành Trung,Ông Vũ Thành Trung,Thành viên Ban Điều hành(Đến ngày 10 tháng 12 năm 2024),512,1.817,,512.0,1817.0
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên Ban Điều hành,2.836,1.355,,2836.0,1355.0
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên Ban Điều hành,2.799,1.339,,2799.0,1339.0
Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Thành viên Ban Điều hành,2.115,1.931,,2115.0,1931.0
Ông Lê Xuân Vũ,Ông Lê Xuân Vũ,Ông Lê Xuân Vũ,Thành viên Ban Điều hành(Đến ngày 10 tháng 12 năm 2024),-,2.174,,,2174.0
Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Thành viên Ban Điều hành,2.114,1.841,,2114.0,1841.0
