row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tổng tài sản (1),Tải sản > Tổng tài sản (1),Tổng tài sản (1),18.199.940,63.079.116,338.946.752,296.991.384,110.758.015,119.518.210,69.496.622,60.715.216,1.077.705.255,18199940.0,63079116.0,338946752.0,296991384.0,110758015.0,119518210.0,69496622.0,60715216.0,1077705255.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,8.156.285,-,-,-,-,-,8.156.285,,,8156285.0,,,,,,8156285.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,82.169.142,1.733.651,543.665,7.393.911,-,-,91.840.369,,,82169142.0,1733651.0,543665.0,7393911.0,,,91840369.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,387.610.120,119.766.302,112.909.284,81.394.714,12.366.335,20.172,714.066.927,,,387610120.0,119766302.0,112909284.0,81394714.0,12366335.0,20172.0,714066927.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(193.515),72.330,91.253,153.387,68.000,-,191.455,,,-193515.0,72330.0,91253.0,153387.0,68000.0,,191455.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,3.313,3.025,-,62.249,4.713,73.300,,,,3313.0,3025.0,,62249.0,4713.0,73300.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,4.900.072,4.889.307,27.000.206,33.236.600,37.017.578,12.801.641,119.845.404,,,4900072.0,4889307.0,27000206.0,33236600.0,37017578.0,12801641.0,119845404.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,25.432.749,-,-,-,-,-,-,25.432.749,,25432749.0,,,,,,,25432749.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,25.432.749,482.642.104,126.464.903,140.547.433,122.178.612,49.514.162,12.826.526,959.606.489,,25432749.0,482642104.0,126464903.0,140547433.0,122178612.0,49514162.0,12826526.0,959606489.0
Mức chênh nhạy cảm với lãi suất nội bảng (3) = (1) – (2),Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng (3) = (1) – (2),Mức chênh nhạy cảm với lãi suất nội bảng (3) = (1) – (2),18.199.940,37.646.367,(143.695.352),170.526.481,(29.789.418),(2.660.402),19.982.460,47.888.690,118.098.766,18199940.0,37646367.0,-143695352.0,170526481.0,-29789418.0,-2660402.0,19982460.0,47888690.0,118098766.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)",18.199.940,37.646.367,(143.695.352),170.526.481,(29.789.418),(2.660.402),19.982.460,47.888.690,118.098.766,18199940.0,37646367.0,-143695352.0,170526481.0,-29789418.0,-2660402.0,19982460.0,47888690.0,118098766.0
