row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia súc VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia súc VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(1.000.733.601),(4.633.026.201),(399.803.742),(40.011.225),(391.444.389),371.507,(6.464.647.651),-1000733601.0,-4633026201.0,-399803742.0,-40011225.0,-391444389.0,371507.0,-6464647651.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.572.782.190.918,18.224.161.792.060,1.256.615.164.374,657.295.375.886,1.319.902.320.479,6.878.494.651,27.037.635.338.368,5572782190918.0,18224161792060.0,1256615164374.0,657295375886.0,1319902320479.0,6878494651.0,27037635338368.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.919.973.990.771,8.980.673.313.432,661.654.957.104,505.765.713.054,408.560.151.566,6.898.409.721,12.483.526.535.648,1919973990771.0,8980673313432.0,661654957104.0,505765713054.0,408560151566.0,6898409721.0,12483526535648.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,273.912.718.070,1.476.432.031.685,134.627.026.346,52.293.247.378,213.340.296.099,1.099.739.517,2.151.705.059.095,273912718070.0,1476432031685.0,134627026346.0,52293247378.0,213340296099.0,1099739517.0,2151705059095.0
Chuyển sang tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,-,(4.860.000),-,-,(4.860.000),,,,-4860000.0,,,-4860000.0
Chuyển sang chi phí trả trước,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,(1.351.126.179),(4.401.059.751),-,-,-,-,(5.752.185.930),-1351126179.0,-4401059751.0,,,,,-5752185930.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,1.013.131.341,5.082.935.744,175.671.684,(6.271.738.769),-,-,-,1013131341.0,5082935744.0,175671684.0,-6271738769.0,,,
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(8.895.553.121),(68.206.969.916),(8.433.649.243),(59.179.372.131),(150.555.736.812),(1.774.274.286),(297.045.555.509),-8895553121.0,-68206969916.0,-8433649243.0,-59179372131.0,-150555736812.0,-1774274286.0,-297045555509.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,-,21.360.510,(21.360.609),-,(8.239.484.601),-,(8.239.484.700),,21360510.0,-21360609.0,,-8239484601.0,,-8239484700.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(395.800.112),(2.741.419.564),(413.895.125),(87.106.935),(222.905.664),78.750,(3.861.048.650),-395800112.0,-2741419564.0,-413895125.0,-87106935.0,-222905664.0,78750.0,-3861048650.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.184.257.360.770,10.386.860.192.140,787.588.750.157,492.515.882.597,462.882.320.588,6.223.953.702,14.320.328.459.954,2184257360770.0,10386860192140.0,787588750157.0,492515882597.0,462882320588.0,6223953702.0,14320328459954.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.299.456.951.549,8.836.678.846.053,555.698.440.674,199.210.338.793,840.192.094.929,12.672.946.603,13.743.909.618.601,3299456951549.0,8836678846053.0,555698440674.0,199210338793.0,840192094929.0,12672946603.0,13743909618601.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.388.524.830.148,7.837.301.599.920,469.026.414.217,164.779.493.289,857.019.999.891,654.540.949,12.717.306.878.414,3388524830148.0,7837301599920.0,469026414217.0,164779493289.0,857019999891.0,654540949.0,12717306878414.0
