row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,4.124.595.323.500,6.948.181.061.604,445.652.058.591,56.984.007.696,7.723.764.154,11.583.136.215.545,4124595323500.0,6948181061604.0,445652058591.0,56984007696.0,7723764154.0,11583136215545.0
Khẩu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,538.620.154.056,746.915.454.173,52.415.678.147,7.828.831.372,940.584.363,1.346.720.702.111,538620154056.0,746915454173.0,52415678147.0,7828831372.0,940584363.0,1346720702111.0
Mua lại tài sản cố định,GIÁ TRI HAO MÒN LỦY KẾ > Mua lại tài sản cố định,Mua lại tài sản cố định,-,33.520.509.280,6.717.138.056,-,-,40.237.647.336,,33520509280.0,6717138056.0,,,40237647336.0
thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,,,,,,
Chuyển từ bất động sản đầu tư,thuê tài chính > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,1.646.635.022,653.548.472,-,3.219.244.767,-,5.519.428.261,1646635022.0,653548472.0,,3219244767.0,,5519428261.0
Giảm do thoái Công ty con,thuê tài chính > Giảm do thoái Công ty con,Giảm do thoái Công ty con,(131.565.026.616),(1.044.949.665.141),(43.026.468.665),(293.859.193),-,(1.219.835.019.615),-131565026616.0,-1044949665141.0,-43026468665.0,-293859193.0,,-1219835019615.0
"Thanh lý, nhượng bán","thuê tài chính > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(73.040.152.393),(12.390.724.096),(2.041.256.504),-,(87.472.132.993),,-73040152393.0,-12390724096.0,-2041256504.0,,-87472132993.0
Phân loại lại,thuê tài chính > Phân loại lại,Phân loại lại,(132.748.442),(40.674.419),(11.110.461),184.533.322,-,-,-132748442.0,-40674419.0,-11110461.0,184533322.0,,
"Tăng, giảm khác","thuê tài chính > Tăng, giảm khác","Tăng, giảm khác",(50.783.751),1.105.315.982,323.464.738,(321.168.340),(24.458.939),1.032.369.690,-50783751.0,1105315982.0,323464738.0,-321168340.0,-24458939.0,1032369690.0
Số dư cuối năm,thuê tài chính > Số dư cuối năm,Số dư cuối năm,4.533.113.553.769,6.612.345.397.558,449.680.036.310,65.560.333.120,8.639.889.578,11.669.339.210.335,4533113553769.0,6612345397558.0,449680036310.0,65560333120.0,8639889578.0,11669339210335.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,8.490.827.925.203,9.077.074.126.863,274.992.363.017,17.654.784.485,2.735.098.624,17.863.284.298.192,8490827925203.0,9077074126863.0,274992363017.0,17654784485.0,2735098624.0,17863284298192.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,8.723.798.512.382,3.924.797.349.923,254.952.492.687,69.315.242.378,4.293.109.954,12.977.156.707.324,8723798512382.0,3924797349923.0,254952492687.0,69315242378.0,4293109954.0,12977156707324.0
