row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2020 triệu đồng,Ngày 31 tháng 12 năm 2019 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2020 triệu đồng,numeric__Ngày 31 tháng 12 năm 2019 triệu đồng
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,1.004.975.541,925.252.830,10.0,1004975541.0,925252830.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(12.345.700),(12.788.628),11.0,-12345700.0,-12788628.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,113.301.684,103.346.746,12.0,113301684.0,103346746.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,111.057.472,95.855.950,121.0,111057472.0,95855950.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,2.586.778,15.367.993,122.0,2586778.0,15367993.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.4,(342.566),(7.877.203),124.0,-342566.0,-7877203.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,5.551.782,5.751.782,13.0,5551782.0,5751782.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,13.1,3.840.032,4.040.032,131.0,3840032.0,4040032.0
Vốn góp liên doanh,TÀI SẢN > Vốn góp liên doanh,Vốn góp liên doanh,13.2,1.688.788,1.688.788,132.0,1688788.0,1688788.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,22.962,22.962,,22962.0,22962.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,10.515.830,10.793.632,,10515830.0,10793632.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,6.201.397,6.314.789,14.0,6201397.0,6314789.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,15.089.112,14.577.971,,15089112.0,14577971.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(8.887.715),(8.263.182),,-8887715.0,-8263182.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15,4.314.433,4.478.843,15.0,4314433.0,4478843.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,6.259.206,6.172.117,,6259206.0,6172117.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.944.773),(1.693.274),,-1944773.0,-1693274.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,31.456.057,30.530.512,16.0,31456057.0,30530512.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,21.209.490,21.088.360,161.0,21209490.0,21088360.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,7.532.193,6.498.602,,7532193.0,6498602.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.2,2.754.970,2.943.708,162.0,2754970.0,2943708.0
Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,,,,,,
Có nội bằng khác,Các khoản dự phòng rủi ro cho các tài sản > Có nội bằng khác,Có nội bằng khác,16.3,(40.596),(158),163.0,-40596.0,-158.0
TỔNG TÀI SẢN,Các khoản dự phòng rủi ro cho các tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,1.327.921.008,1.228.542.264,,1327921008.0,1228542264.0
