row_label_raw,row_label_full,col_0,Không chịu lãi triệu đồng,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Trên 3 tháng triệu đồng,numeric__Đến 3 tháng triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),18.897.066,40.596,-,2.907.095,5.513.293,4.021.019,117.584,-,-,31.496.653,18897066.0,40596.0,,2907095.0,5513293.0,4021019.0,117584.0,,,31496653.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,45.088.080,9.357.880,2.770.000,528.014.745,296.302.562,263.950.816,94.431.151,68.1^3.283,32.621.353,1.340.649.870,45088080.0,9357880.0,2770000.0,528014745.0,296302562.0,263950816.0,94431151.0,,32621353.0,1340649870.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,42.864.597,650.097,637.176,445.318,-,-,44.597.188,,,,42864597.0,650097.0,637176.0,445318.0,,,44597188.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,99.347.192,14.643.687,10.741.648,139.618,-,-,124.872.145,,,,99347192.0,14643687.0,10741648.0,139618.0,,,124872145.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,440.450.831,189.211.853,156.295.537,186.360.105,15.744.925,6.905,988.070.156,,,,440450831.0,189211853.0,156295537.0,186360105.0,15744925.0,6905.0,988070156.0
"Vốn tài tợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài tợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài tợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,-,-,2.733.251,-,-,-,-,2.733.251,,,,,2733251.0,,,,,2733251.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,12.151.084,-,5.700.000,16.750.000,25.024.486,250.000,59.875.570,,,,12151084.0,,5700000.0,16750000.0,25024486.0,250000.0,59875570.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),25.659.752,-,-,-,-,-,-,-,-,25.659.752,25659752.0,,,,,,,,,25659752.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,25.659.752,-,-,594.813.704,207.238.888,173.374.361,203.695.041,40.769.411,256.905,1.245.808.062,25659752.0,,,594813704.0,207238888.0,173374361.0,203695041.0,40769411.0,256905.0,1245808062.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,19.428.328,9.357.880,2.770.000,(66.798.959),89.063.674,90.576.455,(109.263.890),27.343.872,32.364.448,94.841.808,19428328.0,9357880.0,2770000.0,-66798959.0,89063674.0,90576455.0,-109263890.0,27343872.0,32364448.0,94841808.0
Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nôi, ngoại bảng","Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng) > Mức chênh nhạy cảm với lãi suất nôi, ngoại bảng","Mức chênh nhạy cảm với lãi suất nôi, ngoại bảng",19.428.328,9.357.880,2.770.000,(66.798.959),89.063.674,90.576.455,(109.263.890),27.343.872,32.364.448,94.841.808,19428328.0,9357880.0,2770000.0,-66798959.0,89063674.0,90576455.0,-109263890.0,27343872.0,32364448.0,94841808.0
