row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Từ 15/01/2016đến 31/12/2016,Từ 01/01/2016đến 14/01/2016,numeric__Mã số,numeric__Từ 15/01/2016đến 31/12/2016,numeric__Từ 01/01/2016đến 14/01/2016
"Tiền chi để mua sắm, xây dựng TSCĐ và TS dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi để mua sắm, xây dựng TSCĐ và TS dài hạn khác","Tiền chi để mua sắm, xây dựng TSCĐ và TS dài hạn khác",21,(216.709.319.366),(19.279.828.339),21.0,-216709319366.0,-19279828339.0
"Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác",24,21.928.012.088,75.927.918,24.0,21928012088.0,75927918.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(43.844.321.710),-,25.0,-43844321710.0,
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,14.345.268.696,25.235.000.000,27.0,14345268696.0,25235000000.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(224.280.360.292),6.031.099.579,30.0,-224280360292.0,6031099579.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,751.401.332.755,-,33.0,751401332755.0,
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(2.130.777.153.065),(30.075.927.918),34.0,-2130777153065.0,-30075927918.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.379.375.820.310),(30.075.927.918),40.0,-1379375820310.0,-30075927918.0
LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,50,262.762.985.519,13.805.622.589,50.0,262762985519.0,13805622589.0
Tiền và tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,65.847.900.361,52.042.277.772,60.0,65847900361.0,52042277772.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,-,-,61.0,,
Tiền và tương đương tiền cuối năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,328.610.885.880,65.847.900.361,70.0,328610885880.0,65847900361.0
