row_label_raw,row_label_full,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Bảng cân đối kế toán riêng_2,Bảng cân đối kế toán riêng_3,Bảng cân đối kế toán riêng_4,Bảng cân đối kế toán riêng_5,Bảng cân đối kế toán riêng_6,numeric__Bảng cân đối kế toán riêng_1,numeric__Bảng cân đối kế toán riêng_2,numeric__Bảng cân đối kế toán riêng_3,numeric__Bảng cân đối kế toán riêng_4,numeric__Bảng cân đối kế toán riêng_5,numeric__Bảng cân đối kế toán riêng_6
Tổng doanh thu,Báo cáo kết quả kinh doanh riêng > Tổng doanh thu,Tổng doanh thu,4.869.651.725.799,1.079.081.395.754,737.858.459.994,162.063.610.168,(1.289.498.356.468),5.559.156.835.247,4869651725799.0,1079081395754.0,737858459994.0,162063610168.0,-1289498356468.0,5559156835247.0
Chi phí hoạt động kinh doanh,Báo cáo kết quả kinh doanh riêng > Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,3.517.098.968.534,795.197.990.092,651.771.742.689,13.236.268.062,(1.123.606.511.865),3.853.698.457.512,3517098968534.0,795197990092.0,651771742689.0,13236268062.0,-1123606511865.0,3853698457512.0
Kết quả hoạt động kinh doanh bộ phận,Báo cáo kết quả kinh doanh riêng > Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,1.352.552.757.265,283.883.405.662,86.086.717.305,148.827.342.106,(165.891.844.603),1.705.458.377.735,1352552757265.0,283883405662.0,86086717305.0,148827342106.0,-165891844603.0,1705458377735.0
Chi phí không phân bố,Báo cáo kết quả kinh doanh riêng > Chi phí không phân bố,Chi phí không phân bố,,,,,,572.718.860.273,,,,,,572718860273.0
Lợi nhuận từ hoạt động kinh doanh,Báo cáo kết quả kinh doanh riêng > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,1.132.739.517.462,,,,,,1132739517462.0
Thu nhập khác,Báo cáo kết quả kinh doanh riêng > Thu nhập khác,Thu nhập khác,,,,,,13.465.019.474,,,,,,13465019474.0
Kết quả từ hoạt động tài chính,Báo cáo kết quả kinh doanh riêng > Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,2.738.900.505,,,,,,2738900505.0
Lợi nhuận trước thuế,Báo cáo kết quả kinh doanh riêng > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,1.148.943.437.441,,,,,,1148943437441.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Báo cáo kết quả kinh doanh riêng > Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,,215.747.254.119,,,,,,215747254119.0
Lợi nhuận sau thuế thu nhập doanhnghiệp,Báo cáo kết quả kinh doanh riêng > Lợi nhuận sau thuế thu nhập doanhnghiệp,Lợi nhuận sau thuế thu nhập doanhnghiệp,,,,,,933.196.183.322,,,,,,933196183322.0
