row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",KhácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__KhácVND,numeric__TổngVND
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.050.955.111.656,1.129.134.978.504,72.810.649.348,12.441.443.159,3.955.357.240,2.269.297.539.907,1050955111656.0,1129134978504.0,72810649348.0,12441443159.0,3955357240.0,2269297539907.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,95.058.210.223,97.337.406.887,2.818.697.691,1.188.278.204,150.356.779,196.552.949.784,95058210223.0,97337406887.0,2818697691.0,1188278204.0,150356779.0,196552949784.0
(Giảm) do quyết toán,GIÁ TRỊ HAO MÒN LỦY KẾ > (Giảm) do quyết toán,(Giảm) do quyết toán,(95.749.545),(2.310.885.003),-,-,-,(2.406.634.548),-95749545.0,-2310885003.0,,,,-2406634548.0
Tăng từ tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,-,939.072.664,-,-,939.072.664,,,939072664.0,,,939072664.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(4.561.824.285),9.744.224.261,(6.272.488.995),1.090.089.019,-,-,-4561824285.0,9744224261.0,-6272488995.0,1090089019.0,,
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(533.680.560),(2.010.981.202),-,-,(2.544.661.762),,-533680560.0,-2010981202.0,,,-2544661762.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.141.355.748.049,1.233.372.044.089,68.284.949.506,14.719.810.382,4.105.714.019,2.461.838.266.045,1141355748049.0,1233372044089.0,68284949506.0,14719810382.0,4105714019.0,2461838266045.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.099.827.256.302,635.379.736.313,17.291.836.792,1.934.921.891,558.779.801,1.754.992.531.099,1099827256302.0,635379736313.0,17291836792.0,1934921891.0,558779801.0,1754992531099.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.030.787.228.014,560.315.943.438,16.627.923.315,2.097.195.580,408.423.022,1.610.236.713.369,1030787228014.0,560315943438.0,16627923315.0,2097195580.0,408423022.0,1610236713369.0
