row_label_raw,row_label_full,col_0,Giá trị giao dịchThu nhập/(chi phí),Giá trị giao dịchThu nhập/(chi phí)_1,numeric__Giá trị giao dịchThu nhập/(chi phí),numeric__Giá trị giao dịchThu nhập/(chi phí)_1
Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),,
Doanh thu cho thuê tài sản và doanh thu khác,Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ) > Doanh thu cho thuê tài sản và doanh thu khác,Doanh thu cho thuê tài sản và doanh thu khác,-,558.617.294,,558617294.0
Chi phí tiền điện và thuê văn phòng,Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ) > Chi phí tiền điện và thuê văn phòng,Chi phí tiền điện và thuê văn phòng,(2.381.006.765),(2.374.013.320),-2381006765.0,-2374013320.0
"Chi phí quản lý tài sản, bảo vệ, dịch vụ và chi phí khác","Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ) > Chi phí quản lý tài sản, bảo vệ, dịch vụ và chi phí khác","Chi phí quản lý tài sản, bảo vệ, dịch vụ và chi phí khác",-,(253.172.680),,-253172680.0
Công ty Tài chính TNHH MB SHINSEI(Công ty con của Ngân hàng mẹ),Công ty Tài chính TNHH MB SHINSEI(Công ty con của Ngân hàng mẹ),Công ty Tài chính TNHH MB SHINSEI(Công ty con của Ngân hàng mẹ),Công ty Tài chính TNHH MB SHINSEI(Công ty con của Ngân hàng mẹ),Công ty Tài chính TNHH MB SHINSEI(Công ty con của Ngân hàng mẹ),,
Thu lãi tiền gửi,Công ty Tài chính TNHH MB SHINSEI(Công ty con của Ngân hàng mẹ) > Thu lãi tiền gửi,Thu lãi tiền gửi,229.777.778,-,229777778.0,
Chi phí lãi vay,Công ty Tài chính TNHH MB SHINSEI(Công ty con của Ngân hàng mẹ) > Chi phí lãi vay,Chi phí lãi vay,(17.062.499.999),-,-17062499999.0,
Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),,
Doanh thu cho thuê văn phòng,Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ) > Doanh thu cho thuê văn phòng,Doanh thu cho thuê văn phòng,2.020.414.854,2.113.534.354,2020414854.0,2113534354.0
Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),,
Doanh thu phí tư vấn,Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ) > Doanh thu phí tư vấn,Doanh thu phí tư vấn,180.000.000,-,180000000.0,
Chi phí bảo hiểm,Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ) > Chi phí bảo hiểm,Chi phí bảo hiểm,(1.111.031.983),-,-1111031983.0,
"Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soátTiền lương, thường và thù lao","Tổng Công ty cổ phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ) > Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soátTiền lương, thường và thù lao","Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soátTiền lương, thường và thù lao",(8.416.220.534),(8.007.064.537),-8416220534.0,-8007064537.0
