row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2022Nghìn VND,2021Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__2022Nghìn VND,numeric__2021Nghìn VND
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,772.041.277,(353.209.060),11.0,,772041277.0,-353209060.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,84.860.443,43.334.353,12.0,,84860443.0,43334353.0
,,,,,2.270.021.570,861.290.533,,,2270021570.0,861290533.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(1.096.550.489),(1.330.110.196),14.0,,-1096550489.0,-1330110196.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(47.148.344),(123.278.973),15.0,,-47148344.0,-123278973.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.126.322.737,(592.098.636),20.0,,1126322737.0,-592098636.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,,(1.330.036.496),(921.559.976),21.0,,-1330036496.0,-921559976.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán tài sản cố định và tài sản dài hạn khác","Tiền thu từ thanh lý, nhượng bán tài sản cố định và tài sản dài hạn khác",22,,3.194.364,21.625.809,22.0,,3194364.0,21625809.0
Gửi tiền gửi có kỳ hạn tại ngân hàng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Gửi tiền gửi có kỳ hạn tại ngân hàng,Gửi tiền gửi có kỳ hạn tại ngân hàng,23,,(8.110.000),-,23.0,,-8110000.0,
Thu hồi tiền gửi có kỳ hạn và tiền cho vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Thu hồi tiền gửi có kỳ hạn và tiền cho vay,Thu hồi tiền gửi có kỳ hạn và tiền cho vay,24,,7.400.000,1.143.479.452,24.0,,7400000.0,1143479452.0
Hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được mua),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được mua),Hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được mua),25,,-,26.476.816,25.0,,,26476816.0
Tiền chỉ đầu tư góp vốn vào các đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chỉ đầu tư góp vốn vào các đơn vị khác,Tiền chỉ đầu tư góp vốn vào các đơn vị khác,25,,(1.342.363.039),-,25.0,,-1342363039.0,
Tiền thu lãi tiền gửi,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi,Tiền thu lãi tiền gửi,27,,11.632.392,29.522.173,27.0,,11632392.0,29522173.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(2.658.282.779),299.544.274,30.0,,-2658282779.0,299544274.0
