row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng12 năm 2024Triệu đồng,Ngày 31 tháng12 năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng12 năm 2024Triệu đồng,numeric__Ngày 31 tháng12 năm 2023Triệu đồng
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(11.098.030),(8.380.447),11.0,-11098030.0,-8380447.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,6.129.409,7.092.311,12.0,6129409.0,7092311.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,6.185.407,7.207.076,,6185407.0,7207076.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(55.998),(114.765),,-55998.0,-114765.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,51.054.855,91.681.338,,51054855.0,91681338.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,13.1,50.124.274,87.541.117,131.0,50124274.0,87541117.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,992.927,4.350.437,132.0,992927.0,4350437.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,13.3,(62.346),(210.216),133.0,-62346.0,-210216.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",,22.199.965,21.281.747,,22199965.0,21281747.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,14.1,22.133.790,21.418.790,141.0,22133790.0,21418790.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.2,189.210,189.210,142.0,189210.0,189210.0
Dự phòng đầu tư dài hạn,TÀI SẢN > Dự phòng đầu tư dài hạn,Dự phòng đầu tư dài hạn,14.3,(123.035),(326.253),143.0,-123035.0,-326253.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,1.693.650,1.569.669,,1693650.0,1569669.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,1.393.324,1.241.980,151.0,1393324.0,1241980.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,3.000.501,2.588.424,,3000501.0,2588424.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(1.607.177),(1.346.444),,-1607177.0,-1346444.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,300.326,327.689,152.0,300326.0,327689.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,1.204.552,1.106.327,,1204552.0,1106327.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(904.226),(778.638),,-904226.0,-778638.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,21.472.793,46.293.048,,21472793.0,46293048.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,9.567.002,32.765.611,161.0,9567002.0,32765611.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,7.164.165,7.778.527,162.0,7164165.0,7778527.0
Tài sản thuế thu nhập hoãn lại,TÀI SẢN > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,23.2,11.667,8.153,232.0,11667.0,8153.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,4.842.936,5.799.584,163.0,4842936.0,5799584.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.4,(112.977),(58.827),164.0,-112977.0,-58827.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,879.835.816,775.835.132,,879835816.0,775835132.0
