row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm 2021VND,Năm 2020VND,numeric__Mã số,numeric__Năm 2021VND,numeric__Năm 2020VND
"Tăng, giảm các khoản phải thu","Điều chỉnh cho các khoản > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,(83.066.445.554),2.949.634.447,9.0,-83066445554.0,2949634447.0
"Tăng, giảm hàng tồn kho","Điều chỉnh cho các khoản > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,(70.065.984.704),(25.566.596.506),10.0,-70065984704.0,-25566596506.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Điều chỉnh cho các khoản > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,181.481.687.676,20.359.148.414,11.0,181481687676.0,20359148414.0
"Tăng, giảm chi phí trả trước","Điều chỉnh cho các khoản > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,773.718.932,3.187.873.389,12.0,773718932.0,3187873389.0
"Tăng, giảm chứng khoán kinh doanh","Điều chỉnh cho các khoản > Tăng, giảm chứng khoán kinh doanh","Tăng, giảm chứng khoán kinh doanh",13,(124.188.513.482),(3.004.173.471),13.0,-124188513482.0,-3004173471.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(43.646.733.007),(33.745.659.727),14.0,-43646733007.0,-33745659727.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(50.352.325.061),(19.444.424.809),15.0,-50352325061.0,-19444424809.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,287.580.000,19.020.000.000,16.0,287580000.0,19020000000.0
Tiền chi khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,(1.564.605.200),(1.023.583.404),17.0,-1564605200.0,-1023583404.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(8.681.932.496),72.504.682.362,20.0,-8681932496.0,72504682362.0
Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,,,
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(158.342.297.034),(108.118.447.723),21.0,-158342297034.0,-108118447723.0
"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,3.149.200.000,46.384.194.223,22.0,3149200000.0,46384194223.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(6.367.839.386.931),(5.737.927.109.356),23.0,-6367839386931.0,-5737927109356.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,6.675.236.071.993,5.719.658.708.864,24.0,6675236071993.0,5719658708864.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(417.571.645.259),(109.578.000.000),25.0,-417571645259.0,-109578000000.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,405.635.980.000,59.599.173.000,26.0,405635980000.0,59599173000.0
"Tiền thu lãi vay, cổ tức và lợi nhuận được chia","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu lãi vay, cổ tức và lợi nhuận được chia","Tiền thu lãi vay, cổ tức và lợi nhuận được chia",27,128.944.707.678,128.405.580.136,27.0,128944707678.0,128405580136.0
Lưu chuyển tiền thuần tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư > Lưu chuyển tiền thuần tử hoạt động đầu tư,Lưu chuyển tiền thuần tử hoạt động đầu tư,30,269.212.630.447,(1.575.900.856),30.0,269212630447.0,-1575900856.0
