row_label_raw,row_label_full,Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Miền Nam > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Miền Bắc > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Miền Trung > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,VND Tổng cộng > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Miền Nam > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Miền Bắc > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Miền Trung > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__VND Tổng cộng > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày
Phần lợi nhuận từ công ty liên kết,Kết quả hoạt động kinh doanh > Phần lợi nhuận từ công ty liên kết,Phần lợi nhuận từ công ty liên kết,,,,,66.590.908.678,,,,,66590908678.0
Lợi nhuận thuần trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,540.389.738.374,,,,,540389738374.0
Chi phí thuế TNDN hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(48.963.365.318),(26.747.861.693),(22.222.051.395),-,(97.933.278.406),-48963365318.0,-26747861693.0,-22222051395.0,,-97933278406.0
Thu nhập thuế TNDN hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,3.243.038.406,-,-,(82.682.236),3.160.356.170,3243038406.0,,,-82682236.0,3160356170.0
Lợi nhuận thuần sau thuế,Kết quả hoạt động kinh doanh > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,445.616.816.138,,,,,445616816138.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,3.891.533.158.307,375.734.156.974,200.088.681.672,(1.286.689.577.573),3.180.666.419.380,3891533158307.0,375734156974.0,200088681672.0,-1286689577573.0,3180666419380.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,311.516.210.000,720.000.000,-,80.444.531.301,392.680.741.301,311516210000.0,720000000.0,,80444531301.0,392680741301.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,-,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,,,,,3.573.347.160.681,,,,,3573347160681.0
Nợ phải trả bộ phận,Tài sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.797.003.784.016,231.544.693.935,104.064.948.783,(330.625.428.689),1.801.987.998.045,1797003784016.0,231544693935.0,104064948783.0,-330625428689.0,1801987998045.0
Tổng nợ phải trả,Tài sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,1.801.987.998.045,,,,,1801987998045.0
