row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,1.048.211.309,3.384.832.518,152.0,,1048211309.0,3384832518.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,4.169.239.098.095,4.313.570.941.050,200.0,,4169239098095.0,4313570941050.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.088.397.412.102,1.375.156.276.717,210.0,,1088397412102.0,1375156276717.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,10,1.088.397.412.102,1.375.156.276.717,216.0,10.0,1088397412102.0,1375156276717.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,1.244.739.803.376,1.216.706.989.835,220.0,,1244739803376.0,1216706989835.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,11,1.241.835.864.720,1.214.176.686.803,221.0,11.0,1241835864720.0,1214176686803.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,2.228.815.519.898,1.982.150.246.496,222.0,,2228815519898.0,1982150246496.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(986.979.655.178),(767.973.559.693),223.0,,-986979655178.0,-767973559693.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,12,2.903.938.656,2.530.303.032,227.0,12.0,2903938656.0,2530303032.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,4.993.760.523,3.675.351.523,228.0,,4993760523.0,3675351523.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(2.089.821.867),(1.145.048.491),229.0,,-2089821867.0,-1145048491.0
III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,250,13,1.810.148.936.413,1.709.870.269.334,250.0,13.0,1810148936413.0,1709870269334.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.779.674.570.000,1.728.674.570.000,251.0,,1779674570000.0,1728674570000.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,149.037.720.000,149.037.720.000,252.0,,149037720000.0,149037720000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,45.937.767.300,45.937.767.300,253.0,,45937767300.0,45937767300.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(164.501.120.887),(213.779.787.966),254.0,,-164501120887.0,-213779787966.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,25.952.946.204,11.837.405.164,260.0,,25952946204.0,11837405164.0
1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,261,,284.584.446,182.120.545,261.0,,284584446.0,182120545.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,14,25.668.361.758,11.655.284.619,262.0,14.0,25668361758.0,11655284619.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,6.514.271.881.015,6.505.240.132.554,270.0,,6514271881015.0,6505240132554.0
