row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
,,,"Tăng, giảm hàng tồn kho",10,(307.112.377.514),(237.114.994.578),,10.0,-307112377514.0,-237114994578.0
,,,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,68.439.005.204,(290.188.980.770),,11.0,68439005204.0,-290188980770.0
,,,"Tăng, giảm chi phí trả trước",12,(33.830.057.872),33.195.780.650,,12.0,-33830057872.0,33195780650.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(129.868.403.160),(132.256.123.480),,15.0,-129868403160.0,-132256123480.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(72.812.437.306),(102.057.821.583),,17.0,-72812437306.0,-102057821583.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,489.013.703.075,178.693.090.027,,20.0,489013703075.0,178693090027.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(885.072.536.312),(1.387.185.031.855),,21.0,-885072536312.0,-1387185031855.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,3.483.763.636,13.774.818.182,,22.0,3483763636.0,13774818182.0
"3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(1.440.000.000.000),(1.250.000.000.000),,23.0,-1440000000000.0,-1250000000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,1.450.000.000.000,450.000.000.000,,24.0,1450000000000.0,450000000000.0
"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,152.749.923.397,188.155.237.104,,27.0,152749923397.0,188155237104.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(718.838.849.279),(1.985.254.976.569),,30.0,-718838849279.0,-1985254976569.0
