row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2017,Tại ngày 01/01/2017 (Xem TM số 9),numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 01/01/2017 (Xem TM số 9)
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.375.231.022.235,4.298.726.431.379,200.0,,3375231022235.0,4298726431379.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,200.000.000,40.720.053.403,210.0,,200000000.0,40720053403.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,,,6.866.950.000,211.0,,,6866950000.0
2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,212,(4.4),200.000.000,4.585.096.866,212.0,-44.0,200000000.0,4585096866.0
3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,216,,,29.268.006.537,216.0,,,29268006537.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,16.180.224.768,60.479.939.888,220.0,,16180224768.0,60479939888.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,(4.8),4.166.965.900,40.169.500.482,221.0,-48.0,4166965900.0,40169500482.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,11.610.087.755,75.120.105.929,222.0,,11610087755.0,75120105929.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(7.443.121.855),(34.950.605.447),223.0,,-7443121855.0,-34950605447.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,(4.9),12.013.258.868,20.310.439.406,227.0,-49.0,12013258868.0,20310439406.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,14.664.154.086,23.092.916.086,228.0,,14664154086.0,23092916086.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(2.650.895.218),(2.782.476.680),229.0,,-2650895218.0,-2782476680.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,(4.10),6.766.322.477,893.388.024.442,230.0,-410.0,6766322477.0,893388024442.0
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,231,,111.388.439.863,1.213.355.393.644,231.0,,111388439863.0,1213355393644.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,232,,(104.622.117.386),(319.967.369.202),232.0,,-104622117386.0,-319967369202.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,5.024.958.339,79.973.298.908,240.0,,5024958339.0,79973298908.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,(4.11),5.024.958.339,79.973.298.908,242.0,-411.0,5024958339.0,79973298908.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,(4.2),3.081.463.278.465,2.795.954.749.681,250.0,-42.0,3081463278465.0,2795954749681.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,2.162.361.449.830,1.918.270.349.830,251.0,,2162361449830.0,1918270349830.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,714.723.998.180,736.729.693.210,252.0,,714723998180.0,736729693210.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,201.224.785.280,134.555.956.641,253.0,,201224785280.0,134555956641.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(6.846.954.825),(3.601.250.000),254.0,,-6846954825.0,-3601250000.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,255,,10.000.000.000,10.000.000.000,255.0,,10000000000.0,10000000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,265.596.238.186,428.210.365.057,260.0,,265596238186.0,428210365057.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,(4.12),265.596.238.186,428.210.365.057,261.0,-412.0,265596238186.0,428210365057.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,4.262.278.858.984,5.140.210.407.833,270.0,,4262278858984.0,5140210407833.0
