row_label_raw,row_label_full,col_0,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,numeric__Từ 01/01/2017đến 31/12/2017VND,numeric__Từ 01/02/2016đến 31/12/2016VND
"Cổ tức, lợi nhuận được chia","Doanh thu hoạt động tài chính > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",212.699.047.293,43.166.526.000,212699047293.0,43166526000.0
Lãi tiền gửi,Doanh thu hoạt động tài chính > Lãi tiền gửi,Lãi tiền gửi,33.784.808.711,18.339.563.728,33784808711.0,18339563728.0
Lãi bán các khoản đầu tư,Doanh thu hoạt động tài chính > Lãi bán các khoản đầu tư,Lãi bán các khoản đầu tư,16.142.827.496,376.768.400,16142827496.0,376768400.0
Lãi chênh lệch tỷ giá,Doanh thu hoạt động tài chính > Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,5.855.485,1.389.730,5855485.0,1389730.0
Doanh thu tài chính khác,Doanh thu hoạt động tài chính > Doanh thu tài chính khác,Doanh thu tài chính khác,1.877.844.316,1.844.016,1877844316.0,1844016.0
Cộng,Doanh thu hoạt động tài chính > Cộng,Cộng,264.510.383.301,61.886.091.874,264510383301.0,61886091874.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,
,,,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,,
Dự phòng giảm giá khoản đầu tư tài chính,Chi phí tài chính > Dự phòng giảm giá khoản đầu tư tài chính,Dự phòng giảm giá khoản đầu tư tài chính,3.245.704.825,3.601.250.000,3245704825.0,3601250000.0
Chi phí lãi vay,Chi phí tài chính > Chi phí lãi vay,Chi phí lãi vay,176.508.950,12.423.979.063,176508950.0,12423979063.0
Chi phí tài chính khác,Chi phí tài chính > Chi phí tài chính khác,Chi phí tài chính khác,1.256.447.229,39.400.926,1256447229.0,39400926.0
Lỗ chênh lệch tỷ giá,Chi phí tài chính > Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,87.763,697.300,87763.0,697300.0
Lỗ do bán các khoản đầu tư,Chi phí tài chính > Lỗ do bán các khoản đầu tư,Lỗ do bán các khoản đầu tư,660.828.880,-,660828880.0,
Cộng,Chi phí tài chính > Cộng,Cộng,5.339.577.647,16.065.327.289,5339577647.0,16065327289.0
