row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phandida báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phandida báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,335.187,350.473,1.250.670,1.936.330,-,1.936.330,335187.0,350473.0,1250670.0,1936330.0,,1936330.0
Tiền gửi tại và cho vay NHNN Việt Nam và các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay NHNN Việt Nam và các TCTD khác,Tiền gửi tại và cho vay NHNN Việt Nam và các TCTD khác,22.806,8.750,28.567.440,28.598.996,-,28.598.996,22806.0,8750.0,28567440.0,28598996.0,,28598996.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,4.262,4.262,-,4.262,,,4262.0,4262.0,,4262.0
Cho vay khách hàng - gộp,TÀI SẢN > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,17.668.714,15.518.265,81.487.651,114.674.630,-,114.674.630,17668714.0,15518265.0,81487651.0,114674630.0,,114674630.0
Đầu tư - gộp,TÀI SẢN > Đầu tư - gộp,Đầu tư - gộp,-,-,16.306.628,16.306.628,-,16.306.628,,,16306628.0,16306628.0,,16306628.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,21.822,10.515,3.301.299,3.333.636,-,3.333.636,21822.0,10515.0,3301299.0,3333636.0,,3333636.0
Tài sản có khác - gộp,TÀI SẢN > Tài sản có khác - gộp,Tài sản có khác - gộp,11.826.233,92.048,2.896.677,14.814.958,(11.676.391),3.138.567,11826233.0,92048.0,2896677.0,14814958.0,-11676391.0,3138567.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,29.874.762,15.980.051,133.814.627,179.669.440,(11.676.391),167.993.049,29874762.0,15980051.0,133814627.0,179669440.0,-11676391.0,167993049.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,29.184,29.184,-,29.184,,,29184.0,29184.0,,29184.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,217,9.015,7.606.627,7.615.859,-,7.615.859,217.0,9015.0,7606627.0,7615859.0,,7615859.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,28.740.030,10.182.349,98.619.276,137.541.655,-,137.541.655,28740030.0,10182349.0,98619276.0,137541655.0,,137541655.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,639.428,5.666.290,8.510.929,14.816.647,(11.676.391),3.140.256,639428.0,5666290.0,8510929.0,14816647.0,-11676391.0,3140256.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,29.379.675,15.857.654,114.766.016,160.003.345,(11.676.391),148.326.954,29379675.0,15857654.0,114766016.0,160003345.0,-11676391.0,148326954.0
