row_label_raw,row_label_full,col_0,Quá hạnTriệu VND,Không chịu lãi suấtTriệu VND,Trong vòng1 thángTriệu VND,Từ 1 đến3 thángTriệu VND,Từ 3 đến6 thángTriệu VND,Từ 6 đến12 thángTriệu VND,Từ 1 đến5 nămTriệu VND,Trên5 nămTriệu VND,Tổng cộngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Không chịu lãi suấtTriệu VND,numeric__Trong vòng1 thángTriệu VND,numeric__Từ 1 đến3 thángTriệu VND,numeric__Từ 3 đến6 thángTriệu VND,numeric__Từ 6 đến12 thángTriệu VND,numeric__Từ 1 đến5 nămTriệu VND,numeric__Trên5 nămTriệu VND,numeric__Tổng cộngTriệu VND
XII Tài sản Có khác – gộp,Tài sản > XII Tài sản Có khác – gộp,XII Tài sản Có khác – gộp,-,10.482.028,-,-,-,-,-,-,10.482.028,,10482028.0,,,,,,,10482028.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.370.114,30.952.718,256.293.262,190.422.447,135.999.045,55.769.316,85.648.680,33.875.219,794.330.801,5370114.0,30952718.0,256293262.0,190422447.0,135999045.0,55769316.0,85648680.0,33875219.0,794330801.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
"I, II Tiền gửi của và vay từ NHNNvà các tổ chức tín dụng khác","Nợ phải trả > I, II Tiền gửi của và vay từ NHNNvà các tổ chức tín dụng khác","I, II Tiền gửi của và vay từ NHNNvà các tổ chức tín dụng khác",-,-,99.202.499,13.294.989,8.931.097,4.060.560,-,-,125.489.145,,,99202499.0,13294989.0,8931097.0,4060560.0,,,125489145.0
III Tiền gửi của khách hàng,Nợ phải trả > III Tiền gửi của khách hàng,III Tiền gửi của khách hàng,-,-,310.612.324,126.960.574,79.619.827,71.232.640,2.485.371,-,590.910.736,,,310612324.0,126960574.0,79619827.0,71232640.0,2485371.0,,590910736.0
VI Phát hành giấy tờ có giá,Nợ phải trả > VI Phát hành giấy tờ có giá,VI Phát hành giấy tờ có giá,-,-,5.376,-,-,2.000.000,8.000.000,-,10.005.376,,,5376.0,,,2000000.0,8000000.0,,10005376.0
VII Các khoản nợ khác,Nợ phải trả > VII Các khoản nợ khác,VII Các khoản nợ khác,-,12.549.086,-,-,-,-,-,-,12.549.086,,12549086.0,,,,,,,12549086.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,12.549.086,409.820.199,140.255.563,88.550.924,77.293.200,10.485.371,-,738.954.343,,12549086.0,409820199.0,140255563.0,88550924.0,77293200.0,10485371.0,,738954343.0
Mức chênh nhạy cảm với lãi suấtnội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bằng,Mức chênh nhạy cảm với lãi suấtnội bằng,5.370.114,18.403.632,(153.526.937),50.166.884,47.448.121,(21.523.884),75.163.309,33.875.219,55.376.458,5370114.0,18403632.0,-153526937.0,50166884.0,47448121.0,-21523884.0,75163309.0,33875219.0,55376458.0
Lũy kế chênh nhạy cảm với lãi suất,Nợ phải trả > Lũy kế chênh nhạy cảm với lãi suất,Lũy kế chênh nhạy cảm với lãi suất,5.370.114,23.773.746,(129.753.191),(79.586.307),(32.138.186),(53.662.070),21.501.239,55.376.458,,5370114.0,23773746.0,-129753191.0,-79586307.0,-32138186.0,-53662070.0,21501239.0,55376458.0,
