row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc31/12/2016Triệu VND,Năm kết thúc31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc31/12/2016Triệu VND,numeric__Năm kết thúc31/12/2015Triệu VND
(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,(Tăng)/Giảm về tài sản hoạt động,,,,
9,(Tăng)/Giảm về tài sản hoạt động > 9,9,"Các khoản tiền, vàng gửi và cho vay tổ chức tín dụng khác",,571.521,4.654.648,,,571521.0,4654648.0
10,(Tăng)/Giảm về tài sản hoạt động > 10,10,Các khoản về kinh doanh chứng khoán,,(22.509.208),(49.009.427),,,-22509208.0,-49009427.0
11,(Tăng)/Giảm về tài sản hoạt động > 11,11,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,(230.030),(628),,,-230030.0,-628.0
12,(Tăng)/Giảm về tài sản hoạt động > 12,12,Các khoản cho vay khách hàng,,(72.494.163),(63.322.055),,,-72494163.0,-63322055.0
13,(Tăng)/Giảm về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản cho vay,,(7.374.917),(4.028.310),,,-7374917.0,-4028310.0
14,(Tăng)/Giảm về tài sản hoạt động > 14,14,Tài sản hoạt động khác,,(663.162),(516.766),,,-663162.0,-516766.0
Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,,,,
15,Tăng/(Giảm) về công nợ hoạt động > 15,15,Các khoản nợ Chính phủ và NHNN,,12.671.860,(12.613.519),,,12671860.0,-12613519.0
16,Tăng/(Giảm) về công nợ hoạt động > 16,16,"Các khoản tiền gửi, tiền vay các tổ chức tín dụng",,(856.747),28.805.402,,,-856747.0,28805402.0
17,Tăng/(Giảm) về công nợ hoạt động > 17,17,Các khoản tiền gửi của khách hàng,,89.400.151,78.269.900,,,89400151.0,78269900.0
18,Tăng/(Giảm) về công nợ hoạt động > 18,18,Các khoản phát hành giấy tờ có giá,,7.998.306,(1.571),,,7998306.0,-1571.0
20,Tăng/(Giảm) về công nợ hoạt động > 20,20,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,-,(75.278),,,,-75278.0
21,Tăng/(Giảm) về công nợ hoạt động > 21,21,Công nợ hoạt động khác,,(808.725),(478.541),,,-808725.0,-478541.0
22,Tăng/(Giảm) về công nợ hoạt động > 22,22,Chi từ các quỹ của tổ chức tín dụng,,(1.175.549),(480.845),,,-1175549.0,-480845.0
I,Tăng/(Giảm) về công nợ hoạt động > I,I,Lưu chuyển tiền thuần từ/ (sử dụng vào) hoạt động kinh doanh,,18.782.277,(7.490.910),,,18782277.0,-7490910.0
