row_label_raw,row_label_full,Đơn vị: triệu VND > Chỉ tiêu,Đơn vị: triệu VND > Nước ngoài,Đơn vị: triệu VND > Việt Nam > Miền Bắc,Đơn vị: triệu VND > Việt Nam > Miền Trung,Đơn vị: triệu VND > Việt Nam > Miền Nam,Đơn vị: triệu VND > Tổng cộng,numeric__Đơn vị: triệu VND > Nước ngoài,numeric__Đơn vị: triệu VND > Việt Nam > Miền Bắc,numeric__Đơn vị: triệu VND > Việt Nam > Miền Trung,numeric__Đơn vị: triệu VND > Việt Nam > Miền Nam,numeric__Đơn vị: triệu VND > Tổng cộng
Tổng lợi nhuận trước thuế,I. Kết quả kinh doanh bộ phận > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,57.996,79.855,260.538,618.026,1.016.415,57996.0,79855.0,260538.0,618026.0,1016415.0
II. Tài sản,II. Tài sản,II. Tài sản,,,,,,,,,,
"Tiền mặt, vàng","II. Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",28.866,1.652.607,68.392,167.921,1.917.786,28866.0,1652607.0,68392.0,167921.0,1917786.0
Tiền gửi tại NHNN,II. Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,4.324.721,28.134,9.663,4.362.518,,4324721.0,28134.0,9663.0,4362518.0
Tiền gửi và cho vay các TCTD khác,II. Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,2.444.191,27.276.692,2.055,622,29.723.560,2444191.0,27276692.0,2055.0,622.0,29723560.0
Cho vay và ứng trước khách hàng,II. Tài sản > Cho vay và ứng trước khách hàng,Cho vay và ứng trước khách hàng,5.417.373,80.041.295,15.181.352,29.383.552,130.023.572,5417373.0,80041295.0,15181352.0,29383552.0,130023572.0
Đầu tư tài chính,II. Tài sản > Đầu tư tài chính,Đầu tư tài chính,-,17.773.376,-,-,17.773.376,,17773376.0,,,17773376.0
Tài sản cố định,II. Tài sản > Tài sản cố định,Tài sản cố định,24.064,3.995.362,10.304,25.251,4.054.981,24064.0,3995362.0,10304.0,25251.0,4054981.0
Tài sản khác,II. Tài sản > Tài sản khác,Tài sản khác,668.944,13.537.054,815.007,1.690.442,16.711.447,668944.0,13537054.0,815007.0,1690442.0,16711447.0
Tổng tài sản,II. Tài sản > Tổng tài sản,Tổng tài sản,8.583.438,148.601.107,16.105.244,31.277.451,204.567.240,8583438.0,148601107.0,16105244.0,31277451.0,204567240.0
III. Nợ phải trả,III. Nợ phải trả,III. Nợ phải trả,,,,,,,,,,
Tiền gửi và vay các TCTD khác,III. Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,207.615,27.936.720,3,1.445,28.145.783,207615.0,27936720.0,3.0,1445.0,28145783.0
Tiền gửi khách hàng,III. Nợ phải trả > Tiền gửi khách hàng,Tiền gửi khách hàng,757.339,111.800.431,8.703.388,27.596.924,148.858.082,757339.0,111800431.0,8703388.0,27596924.0,148858082.0
Huy động khác,III. Nợ phải trả > Huy động khác,Huy động khác,-,12.834.570,3.554,19.071,12.857.195,,12834570.0,3554.0,19071.0,12857195.0
Nợ phải trả khác,III. Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,1.911.751,975.859,191.846,421.764,3.501.220,1911751.0,975859.0,191846.0,421764.0,3501220.0
Tổng nợ phải trả,III. Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,2.876.705,153.547.580,8.898.791,28.039.204,193.362.280,2876705.0,153547580.0,8898791.0,28039204.0,193362280.0
