row_label_raw,row_label_full,col_0,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.240.480,33.525.287,63.884.477,73.761.395,16.151.617,3.455.869,7.793.828,2.765.963,206.578.916,5240480.0,33525287.0,63884477.0,73761395.0,16151617.0,3455869.0,7793828.0,2765963.0,206578916.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,23.074.792,8.730.087,515.000,44.071,1.998,4.750,32.370.698,,,23074792.0,8730087.0,515000.0,44071.0,1998.0,4750.0,32370698.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,54.991.218,32.391.676,31.919.053,25.205.754,4.348.147,2.234,148.858.082,,,54991218.0,32391676.0,31919053.0,25205754.0,4348147.0,2234.0,148858082.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,100.011,-,-,-,-,-,-,100.011,,100011.0,,,,,,,100011.0
"Vốn nhận tài trợ, uỷ thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn nhận tài trợ, uỷ thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn nhận tài trợ, uỷ thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,6.091,12.054,384.146,-,12.341,-,414.632,,,6091.0,12054.0,384146.0,,12341.0,,414632.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,1.670.000,472.693,3.879.942,1.195.013,1.000.000,8.217.648,,,,1670000.0,472693.0,3879942.0,1195013.0,1000000.0,8217648.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.401.209,-,-,-,-,-,-,3.401.209,,3401209.0,,,,,,,3401209.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,3.501.220,78.072.101,42.803.817,33.290.892,29.129.767,5.557.499,1.006.984,193.362.280,,3501220.0,78072101.0,42803817.0,33290892.0,29129767.0,5557499.0,1006984.0,193362280.0
Mức chênh nhạy cảm với lãi suất nói bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nói bảng,Mức chênh nhạy cảm với lãi suất nói bảng,5.240.480,30.024.067,(14.187.624),30.957.578,(17.139.275),(25.673.898),2.236.329,1.758.979,13.216.636,5240480.0,30024067.0,-14187624.0,30957578.0,-17139275.0,-25673898.0,2236329.0,1758979.0,13216636.0
