row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2022 VND,Năm kết thúc ngày > 30/9/2021 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2022 VND,numeric__Năm kết thúc ngày > 30/9/2021 VND
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(3.677.954.974.368),5.901.843.863.791,11.0,,-3677954974368.0,5901843863791.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,(13.914.683.956),28.508.264.282,12.0,,-13914683956.0,28508264282.0
,,,,,1.659.580.117.494,1.028.649.318.834,,,1659580117494.0,1028649318834.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(182.460.644.247),(158.824.335.187),14.0,,-182460644247.0,-158824335187.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(288.320.745.818),(436.616.991.261),15.0,,-288320745818.0,-436616991261.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(117.030.852.331),(63.628.027.964),17.0,,-117030852331.0,-63628027964.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.071.767.875.098,369.579.964.422,20.0,,1071767875098.0,369579964422.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,,(328.785.899.096),(240.276.296.923),21.0,,-328785899096.0,-240276296923.0
Tiền thu từ thanh lý tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,,24.389.427.659,3.272.245.830,22.0,,24389427659.0,3272245830.0
Tiền chi cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay và tiền gửi có kỳ hạn,Tiền chi cho vay và tiền gửi có kỳ hạn,23,,(2.700.000.000),(101.326.172.142),23.0,,-2700000000.0,-101326172142.0
Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,Tiền thu hồi từ khoản cho vay và tiền gửi có kỳ hạn,24,,-,5.000.000.000,24.0,,,5000000000.0
Tiền chi đầu tư vào công ty con,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư vào công ty con,Tiền chi đầu tư vào công ty con,25,,-,(22.668.142.693),25.0,,,-22668142693.0
Tiền thu từ chuyển nhượng công ty con,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ chuyển nhượng công ty con,Tiền thu từ chuyển nhượng công ty con,26,,-,188.100.000.000,26.0,,,188100000000.0
"Tiền thu lãi tiền gửi, lãi trái phiếu và cổ tức","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi, lãi trái phiếu và cổ tức","Tiền thu lãi tiền gửi, lãi trái phiếu và cổ tức",27,,231.166.167.254,16.649.919.883,27.0,,231166167254.0,16649919883.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(75.930.304.183),(151.248.446.045),30.0,,-75930304183.0,-151248446045.0
