row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_1,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_2,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_3,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_4,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_1,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_2,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_3,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_4
Chi phí tài chính,Doanh thu hoạt động tài chính > Chi phí tài chính,Chi phí tài chính,,,,(11.639.704.161),,,,-11639704161.0
Thu nhập khác,Doanh thu hoạt động tài chính > Thu nhập khác,Thu nhập khác,,,,120.796.333.431,,,,120796333431.0
Chi phí khác,Doanh thu hoạt động tài chính > Chi phí khác,Chi phí khác,,,,208.679.862.013,,,,208679862013.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu hoạt động tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,156.699.958.343,,,,156699958343.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,,
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,,
- Tài sản và nợ phải trả bộ phận theo khu vực địa lýSố cuối năm,- Tài sản và nợ phải trả bộ phận theo khu vực địa lýSố cuối năm,- Tài sản và nợ phải trả bộ phận theo khu vực địa lýSố cuối năm,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,,,,
Tài sản bộ phận,- Tài sản và nợ phải trả bộ phận theo khu vực địa lýSố cuối năm > Tài sản bộ phận,Tài sản bộ phận,6.463.190.481.827,1.660.876.749.361,3.529.835.039.425,11.653.902.270.613,6463190481827.0,1660876749361.0,3529835039425.0,11653902270613.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,6.463.190.481.827,1.660.876.749.361,3.529.835.039.425,11.653.902.270.613,6463190481827.0,1660876749361.0,3529835039425.0,11653902270613.0
Nợ phải trả bộ phận,Tài sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,211.175.259.695,9.181.591.126,119.852.789.002,340.209.639.823,211175259695.0,9181591126.0,119852789002.0,340209639823.0
Nợ phải trả không phân bổ,Tài sản không phân bổ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,6.997.990.775.525,,,,6997990775525.0
Tổng nợ phải trả,Tài sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,211.175.259.695,9.181.591.126,119.852.789.002,7.338.200.415.348,211175259695.0,9181591126.0,119852789002.0,7338200415348.0
