row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,LàoTriệu đồng,CampuchiaTriệu đồng,Tổng bộ phandida báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__LàoTriệu đồng,numeric__CampuchiaTriệu đồng,numeric__Tổng bộ phandida báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
LỢI NHUẬN SAU THUẾ,Chi phí lãi và các chi phí tương tự > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,1.539.506,2.620.631,896.612,21.116,(37.170),5.040.695,-,5.040.695,1539506.0,2620631.0,896612.0,21116.0,-37170.0,5040695.0,,5040695.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","TÀI SẢN > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",1.005.204,1.038.350,5.481.957,41.119,283.268,7.849.898,-,7.849.898,1005204.0,1038350.0,5481957.0,41119.0,283268.0,7849898.0,,7849898.0
Tiền gửi tại NHNN,TÀI SẢN > Tiền gửi tại NHNN,Tiền gửi tại NHNN,293.315,552.098,10.077.050,529.088,834.566,12.286.117,-,12.286.117,293315.0,552098.0,10077050.0,529088.0,834566.0,12286117.0,,12286117.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,7.299,1.572,24.859.669,270.775,154.270,25.293.585,-,25.293.585,7299.0,1572.0,24859669.0,270775.0,154270.0,25293585.0,,25293585.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,61.323.355,80.531.043,285.935.196,1.292.155,3.915.844,432.997.593,-,432.997.593,61323355.0,80531043.0,285935196.0,1292155.0,3915844.0,432997593.0,,432997593.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,-,-,102.642,-,-,102.642,-,102.642,,,102642.0,,,102642.0,,102642.0
Đầu tư,TÀI SẢN > Đầu tư,Đầu tư,-,-,68.758.498,130.410,591,68.889.499,-,68.889.499,,,68758498.0,130410.0,591.0,68889499.0,,68889499.0
Tải sản khác,TÀI SẢN > Tải sản khác,Tải sản khác,2.375.574,1.311.861,41.088.159,171.273,103.455,45.050.322,(561.961),44.488.361,2375574.0,1311861.0,41088159.0,171273.0,103455.0,45050322.0,-561961.0,44488361.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,65.004.747,83.434.924,436.303.171,2.434.820,5.291.994,592.469.656,(561.961),591.907.695,65004747.0,83434924.0,436303171.0,2434820.0,5291994.0,592469656.0,-561961.0,591907695.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,9.901.209,-,-,9.901.209,-,9.901.209,,,9901209.0,,,9901209.0,,9901209.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,220.161,4.559,28.044.720,160.937,71,28.430.448,-,28.430.448,220161.0,4559.0,28044720.0,160937.0,71.0,28430448.0,,28430448.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,83.964.199,56.523.923,308.401.822,1.658.108,4.192.444,454.740.496,-,454.740.496,83964199.0,56523923.0,308401822.0,1658108.0,4192444.0,454740496.0,,454740496.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,6.597.196,3.617.036,50.120.023,338.349,97.903,60.770.507,(561.961),60.208.546,6597196.0,3617036.0,50120023.0,338349.0,97903.0,60770507.0,-561961.0,60208546.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,90.781.556,60.145.518,396.467.774,2.157.394,4.290.418,553.842.660,(561.961),553.280.699,90781556.0,60145518.0,396467774.0,2157394.0,4290418.0,553842660.0,-561961.0,553280699.0
