row_label_raw,row_label_full,col_0,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),3.626.453,22.293.908,-,-,-,-,-,-,25.920.361,3626453.0,22293908.0,,,,,,,25920361.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,11.468.241,39.360.236,93.686.210,90.261.365,21.385.845,17.001.504,14.649.008,3.397.060,291.209.469,11468241.0,39360236.0,93686210.0,90261365.0,21385845.0,17001504.0,14649008.0,3397060.0,291209469.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,39.221.448,11.419.834,5.115.145,265.199,2.047,3.842,56.027.515,,,39221448.0,11419834.0,5115145.0,265199.0,2047.0,3842.0,56027515.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,62.046.565,42.136.959,43.646.125,39.939.300,6.438.986,3.173,194.211.108,,,62046565.0,42136959.0,43646125.0,39939300.0,6438986.0,3173.0,194211108.0
"Vốn nhận tài trợ, uy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn nhận tài trợ, uy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn nhận tài trợ, uy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,1.061.995,-,2.166,-,1.064.161,,,,,1061995.0,,2166.0,,1064161.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,1.000.000,5.185.000,6.559.000,1.000.634,2.222.635,15.967.269,,,,1000000.0,5185000.0,6559000.0,1000634.0,2222635.0,15967269.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.551.183,-,-,-,-,-,-,4.551.183,,4551183.0,,,,,,,4551183.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,4.551.183,101.268.013,54.556.793,55.008.265,46.763.499,7.443.833,2.229.650,271.821.236,,4551183.0,101268013.0,54556793.0,55008265.0,46763499.0,7443833.0,2229650.0,271821236.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,11.468.241,34.809.053,(7.581.803),35.704.572,(33.622.420),(29.761.995),7.205.175,1.167.410,19.388.233,11468241.0,34809053.0,-7581803.0,35704572.0,-33622420.0,-29761995.0,7205175.0,1167410.0,19388233.0
