row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,(12.592),(703.494),-,-,-,(716.086),-12592.0,-703494.0,,,,-716086.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,356.530,-,-,-,356.530,,356530.0,,,,356530.0
Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,-,24.000,-,-,-,24.000,,24000.0,,,,24000.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(72.518),-,-,-,(72.518),,-72518.0,,,,-72518.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.817.275),(2.817.078),-,-,69.627,(4.564.726),-1817275.0,-2817078.0,,,69627.0,-4564726.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(23.061.760),(7.013.177),-,-,69.627,(30.005.310),-23061760.0,-7013177.0,,,69627.0,-30005310.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,-,342.330,16.546,(332.073),26.803,,,342330.0,16546.0,-332073.0,26803.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(1.697.627),-,-,-,-,(1.697.627),-1697627.0,,,,,-1697627.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(2.011.989),(1.061.907),(541.798),(20.306),179.657,(3.456.343),-2011989.0,-1061907.0,-541798.0,-20306.0,179657.0,-3456343.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,6.222.350,554.093,1.513.451,5.373,(955.386),7.339.881,6222350.0,554093.0,1513451.0,5373.0,-955386.0,7339881.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,32.852,2.098,(359),5.290,(19.023),20.858,32852.0,2098.0,-359.0,5290.0,-19023.0,20858.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,-,101.483,101.483,,,,,101483.0,101483.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,956.380,77.625,1.313.624,6.903,(958.977),1.395.555,956380.0,77625.0,1313624.0,6903.0,-958977.0,1395555.0
