row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp > Thuế thu nhập doanh nghiệp phải trả,Thuế thu nhập doanh nghiệp phải trả,-,2.904.568.932,5.448.552.693,4.541.959.957,-,3.811.161.668,,2904568932.0,5448552693.0,4541959957.0,,3811161668.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,,,,,,
Thuế thu nhập cá nhân phải thu,- Thuế thu nhập cá nhân > Thuế thu nhập cá nhân phải thu,Thuế thu nhập cá nhân phải thu,38.065.426,196.178,145.611.410,142.008.701,34.266.539,-,38065426.0,196178.0,145611410.0,142008701.0,34266539.0,
Thuế thu nhập cá nhân phải trả,- Thuế thu nhập cá nhân > Thuế thu nhập cá nhân phải trả,Thuế thu nhập cá nhân phải trả,,650.515.948,7.273.131.788,7.841.258.999,-,82.388.737,,650515948.0,7273131788.0,7841258999.0,,82388737.0
- Thuế tài nguyên,- Thuế thu nhập cá nhân > - Thuế tài nguyên,- Thuế tài nguyên,-,219.250,15.148.600,15.198.850,-,169.000,,219250.0,15148600.0,15198850.0,,169000.0
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",,,,,,
"Thuế nhà đất, tiền thuê đất phải thu","- Thuế nhà đất, tiền thuê đất > Thuế nhà đất, tiền thuê đất phải thu","Thuế nhà đất, tiền thuê đất phải thu",475.915.262,258.039.889,9.504.182.996,9.415.779.288,129.471.665,-,475915262.0,258039889.0,9504182996.0,9415779288.0,129471665.0,
"Thuế nhà đất, tiền thuê đất phải trả","- Thuế nhà đất, tiền thuê đất > Thuế nhà đất, tiền thuê đất phải trả","Thuế nhà đất, tiền thuê đất phải trả",-,1.024.888.430,6.284.593.187,4.973.061.865,-,2.336.419.752,,1024888430.0,6284593187.0,4973061865.0,,2336419752.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,,,,,,
Thuế khác phải thu,- Các loại thuế khác > Thuế khác phải thu,Thuế khác phải thu,6.856.855,-,27.179.995,30.169.936,9.846.796,-,6856855.0,,27179995.0,30169936.0,9846796.0,
Thuế khác phải trả,- Các loại thuế khác > Thuế khác phải trả,Thuế khác phải trả,-,204.959.797,261.689.363,275.036.319,-,191.612.841,,204959797.0,261689363.0,275036319.0,,191612841.0
"- Các khoản phí, lệ phí và các khoản phải nộp khác (i)","- Các loại thuế khác > - Các khoản phí, lệ phí và các khoản phải nộp khác (i)","- Các khoản phí, lệ phí và các khoản phải nộp khác (i)",-,67.082.135.191,96.379.399.453,147.893.246.113,-,15.568.288.531,,67082135191.0,96379399453.0,147893246113.0,,15568288531.0
