row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phi),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phi)
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),"Giao dịch mua chứng khoán, CCTG",-,(50.249.315.050),50.249.315.050,-,-,,,-50249315050.0,50249315050.0,,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Doanh thu hợp đồng tư vấn,2.673.909.626,-,(2.673.909.626),-,-,,2673909626.0,,-2673909626.0,,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Phải trả khác,(2.357.811.026),-,2.357.811.026,-,-,,-2357811026.0,,2357811026.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,111.733.880,(111.733.880),-,111.733.880,,,111733880.0,-111733880.0,,111733880.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Giao dịch bán chứng khoán, chứng chỉ tiền gửi",-,9.842.740.732.680,(9.842.740.732.680),-,16.262.260.544,,,9842740732680.0,-9842740732680.0,,16262260544.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Giao dịch mua chứng khoán, chứng chỉ tiền gửi",-,(16.206.380.897.386),16.206.380.897.386,-,-,,,-16206380897386.0,16206380897386.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Ứng trước phí dịch vụ,(216.841.988),(751.880.000),765.021.988,(203.700.000),(751.880.000),,-216841988.0,-751880000.0,765021988.0,-203700000.0,-751880000.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Doanh thu tư vấn, dịch vụ",2.138.155.000,4.062.000.000,(5.525.155.000),675.000.000,3.692.727.273,,2138155000.0,4062000000.0,-5525155000.0,675000000.0,3692727273.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Cổ tức SSI,-,(94.237.688.000),94.237.688.000,-,-,,,-94237688000.0,94237688000.0,,
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,1.787.569.988,(1.787.569.988),-,1.625.063.625,,,1787569988.0,-1787569988.0,,1625063625.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Phi hoa hồng phải trả,(1.181.620.553),(4.990.728.536),5.539.685.472,(632.663.617),(4.990.728.536),,-1181620553.0,-4990728536.0,5539685472.0,-632663617.0,-4990728536.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu hợp đồng tư vấn đầu tư,1.350.723.417,2.035.497.170,(2.472.553.724),913.666.863,2.035.497.170,,1350723417.0,2035497170.0,-2472553724.0,913666863.0,2035497170.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Cổ tức SSI,-,(154.491.930.000),154.491.930.000,-,-,,,-154491930000.0,154491930000.0,,
