row_label_raw,row_label_full,ty Cổ phần Hoàng Anh Gia Lai,ty Cổ phần Hoàng Anh Gia Lai_1,ty Cổ phần Hoàng Anh Gia Lai_2,ty Cổ phần Hoàng Anh Gia Lai_3,ty Cổ phần Hoàng Anh Gia Lai_4,ty Cổ phần Hoàng Anh Gia Lai_5,B09-DN/HN,numeric__ty Cổ phần Hoàng Anh Gia Lai_1,numeric__ty Cổ phần Hoàng Anh Gia Lai_2,numeric__ty Cổ phần Hoàng Anh Gia Lai_3,numeric__ty Cổ phần Hoàng Anh Gia Lai_4,numeric__ty Cổ phần Hoàng Anh Gia Lai_5,numeric__B09-DN/HN
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,41.595.626,21.159.222,30.752.160,2.951.130,6.797.500,103.255.638,41595626.0,21159222.0,30752160.0,2951130.0,6797500.0,103255638.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(552.753.827),(95.151.280),(203.245.111),(3.823.180),(1.035.491.329),(1.890.464.727),-552753827.0,-95151280.0,-203245111.0,-3823180.0,-1035491329.0,-1890464727.0
Mua công ty con,Giá trị khấu hao lũy kế > Mua công ty con,Mua công ty con,(1.915.986),(375.737),(280.637),-,(1.729.603),(4.301.963),-1915986.0,-375737.0,-280637.0,,-1729603.0,-4301963.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(166.948.259),(20.658.777),(55.128.317),(260.967),(438.433.066),(681.429.386),-166948259.0,-20658777.0,-55128317.0,-260967.0,-438433066.0,-681429386.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,344.731,1.021.851,-,-,51.482,1.418.064,344731.0,1021851.0,,,51482.0,1418064.0
Xóa số và thanh lý tài sản,Giá trị khấu hao lũy kế > Xóa số và thanh lý tài sản,Xóa số và thanh lý tài sản,2.607.887,-,4.021.256,-,68.881.103,75.510.246,2607887.0,,4021256.0,,68881103.0,75510246.0
Chênh lệch tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(6.585.999),(348.564),(3.325.423),-,(6.721.708),(16.981.694),-6585999.0,-348564.0,-3325423.0,,-6721708.0,-16981694.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(725.251.453),(115.512.507),(257.958.232),(4.084.147),(1.413.443.121),(2.516.249.460),-725251453.0,-115512507.0,-257958232.0,-4084147.0,-1413443121.0,-2516249460.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.191.857.180,120.528.063,326.541.346,455.823,3.679.778.060,6.319.160.472,2191857180.0,120528063.0,326541346.0,455823.0,3679778060.0,6319160472.0
Số cuối năm (*),Giá trị còn lại > Số cuối năm (*),Số cuối năm (*),2.569.860.999,144.216.590,464.984.052,361.884,4.720.238.016,7.899.661.541,2569860999.0,144216590.0,464984052.0,361884.0,4720238016.0,7899661541.0
