row_label_raw,row_label_full,Mã số > 01 > 02 > 04 > 05 > 06,"CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khấu hao và hao mòn tài sản cố định và bắt động sản đầu tư 12, 13, 14Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay và phát hành trái phiếu 28","Thuyết minh > 12, 13, 14",Năm nay > 1.500.889.847.16411.022.557.13024.330.656.415(1.166.320.543.734)646.565.127.284,Năm trước > 2.365.378.943.0677.669.793.597- (3.685.575.363)155.137.713.100,"numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khấu hao và hao mòn tài sản cố định và bắt động sản đầu tư 12, 13, 14Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay và phát hành trái phiếu 28","numeric__Thuyết minh > 12, 13, 14",numeric__Năm nay > 1.500.889.847.16411.022.557.13024.330.656.415(1.166.320.543.734)646.565.127.284,numeric__Năm trước > 2.365.378.943.0677.669.793.597- (3.685.575.363)155.137.713.100
21,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,Tiền chỉ để mua sắm và xây dựng tài sản cố định,,(32.524.776.612),(16.758.537.151),,,-32524776612.0,-16758537151.0
25,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,Tiền chỉ đầu tư góp vốn vào đơn vị khác,,(3.230.433.107.000),(4.602.003.873.412),,,-3230433107000.0,-4602003873412.0
26,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26,26,Thu hồi tiền đầu tư góp vốn vào đơn vị khác,,4.475.173.000.0003.572.929.272,56.112.000.0003.698.899.810,,,4.4751730000003575e+22,5.611200000036989e+20
27,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,Thu lãi tiền gửi,,4.475.173.000.0003.572.929.272,56.112.000.0003.698.899.810,,,4.4751730000003575e+22,5.611200000036989e+20
30,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động đầu tư,,1.215.788.045.660,(4.558.951.510.753),,,1215788045660.0,-4558951510753.0
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 31,31,Tiền thu từ phát hành cổ phiếu,,-,120.000.000.000,,,,120000000000.0
33,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 33,33,Tiền thu từ đi vay,,2.949.015.250.161,2.821.150.000.000,,,2949015250161.0,2821150000000.0
34,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,Tiền trả nợ gốc vay,,(2.132.041.415.201),(1.666.427.850.000),,,-2132041415201.0,-1666427850000.0
36,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,Cổ tức đã trả cho chủ sở hữu,,-,(51.411.600),,,,-51411600.0
40,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,816.973.834.960,1.274.670.738.400,,,816973834960.0,1274670738400.0
