row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tỉnh: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tỉnh: VNDTổng cộng
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,7.656.669.606,111.396.354.050,31.525.001.517,4.092.371.124,154.670.396.297,7656669606.0,111396354050.0,31525001517.0,4092371124.0,154670396297.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,246.220.619.078,246.964.053.392,69.089.193.011,6.819.010.820,569.092.876.301,246220619078.0,246964053392.0,69089193011.0,6819010820.0,569092876301.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,62.097.845.201,39.222.569.365,7.211.107.198,864.248.143,109.395.769.907,62097845201.0,39222569365.0,7211107198.0,864248143.0,109395769907.0
Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),Giá trị khấu hao lũy kế: > Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),-,35.498.562.122,7.816.319.511,-,43.314.881.633,,35498562122.0,7816319511.0,,43314881633.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(58.278.851.822),(347.985.000),-,(58.626.836.822),,-58278851822.0,-347985000.0,,-58626836822.0
Giảm khác (**),Giá trị khấu hao lũy kế: > Giảm khác (**),Giảm khác (**),(4.517.723.592),-,-,-,(4.517.723.592),-4517723592.0,,,,-4517723592.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,303.800.740.687,263.406.333.057,83.768.634.720,7.683.258.963,658.658.967.427,303800740687.0,263406333057.0,83768634720.0,7683258963.0,658658967427.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,860.726.827.753,287.367.444.486,31.413.613.957,2.251.923.934,1.181.759.810.130,860726827753.0,287367444486.0,31413613957.0,2251923934.0,1181759810130.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.111.876.373.112,601.770.682.511,49.723.630.889,7.303.028.146,1.770.673.714.658,1111876373112.0,601770682511.0,49723630889.0,7303028146.0,1770673714658.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tài sản sử dụng để thế chấp(xem Thuyết minh số 20) (***),Trong đó: > Tài sản sử dụng để thế chấp(xem Thuyết minh số 20) (***),Tài sản sử dụng để thế chấp(xem Thuyết minh số 20) (***),687.364.465.960,487.183.944.386,16.425.999.347,-,1.190.974.409.693,687364465960.0,487183944386.0,16425999347.0,,1190974409693.0
