row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2021,Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2021,Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2021,Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2021
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,216.027,216.027,,,,,,,216027.0,216027.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),177.231,-,6.932.117,-,-,-,-,7.109.348,177231.0,,6932117.0,,,,,7109348.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.311.251,395.588,119.674.862,61.092.463,157.316.560,37.248.591,155.973.216,534.012.531,2311251.0,395588.0,119674862.0,61092463.0,157316560.0,37248591.0,155973216.0,534012531.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,37.477.169,15.035.883,1.873.947,6.940,-,54.393.939,,,37477169.0,15035883.0,1873947.0,6940.0,,54393939.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,192.870.162,63.877.509,116.679.851,6.492.768,379,379.920.669,,,192870162.0,63877509.0,116679851.0,6492768.0,379.0,379920669.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,5.738,18.374,48.440,13.514,86.066,,,,5738.0,18374.0,48440.0,13514.0,86066.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,250.000,5.199.705,22.691.167,2.407.011,30.547.883,,,,250000.0,5199705.0,22691167.0,2407011.0,30547883.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,17.262.890,155.600,501.988,-,-,17.920.478,,,17262890.0,155600.0,501988.0,,,17920478.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,247.610.221,79.324.730,124.273.865,29.239.315,2.420.904,482.869.035,,,247610221.0,79324730.0,124273865.0,29239315.0,2420904.0,482869035.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.311.251,395.588,(127.935.359),(18.232.267),33.042.695,8.009.276,153.552.312,51.143.496,2311251.0,395588.0,-127935359.0,-18232267.0,33042695.0,8009276.0,153552312.0,51143496.0
