row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Khác,Năm trước > Khác,Khác,-,-,-,-,(6.936.067.188),2.699.788.474,(4.236.278.714),,,,,-6936067188.0,2699788474.0,-4236278714.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.298.507.570.000,30.494.112.981,47.125.000,96.441.884.861,823.017.187.451,218.453.517.145,2.466.961.397.438,1298507570000.0,30494112981.0,47125000.0,96441884861.0,823017187451.0,218453517145.0,2466961397438.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.298.507.570.000,30.494.112.981,47.125.000,96.441.884.861,823.017.187.451,218.453.517.145,2.466.961.397.438,1298507570000.0,30494112981.0,47125000.0,96441884861.0,823017187451.0,218453517145.0,2466961397438.0
Chia cổ tức bằng cổ phiếu (i),Năm nay > Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),649.242.200.000,-,-,-,(649.242.200.000),(607.257.883),(607.257.883),649242200000.0,,,,-649242200000.0,-607257883.0,-607257883.0
Phát hành cổ phiếu mới (ii),Năm nay > Phát hành cổ phiếu mới (ii),Phát hành cổ phiếu mới (ii),13.000.000.000,-,-,-,(117.719.221),1.784.000.000,14.666.280.779,13000000000.0,,,,-117719221.0,1784000000.0,14666280779.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,629.872.883.224,(9.767.658.606),620.105.224.618,,,,,629872883224.0,-9767658606.0,620105224618.0
Thay đổi tỷ lệ sở hữu trong năm,Năm nay > Thay đổi tỷ lệ sở hữu trong năm,Thay đổi tỷ lệ sở hữu trong năm,-,-,-,-,2.674.118.168,(2.674.118.168),-,,,,,2674118168.0,-2674118168.0,
Chia cổ tức bằng tiền,Năm nay > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(64.887.754.000),-,(64.887.754.000),,,,,-64887754000.0,,-64887754000.0
Trích lập các quỹ,Năm nay > Trích lập các quỹ,Trích lập các quỹ,-,-,-,151.874.467,(151.874.467),-,-,,,,151874467.0,-151874467.0,,
"Trích lập quỹ khen thưởng, phúc lợi (iii)","Năm nay > Trích lập quỹ khen thưởng, phúc lợi (iii)","Trích lập quỹ khen thưởng, phúc lợi (iii)",-,-,-,-,(70.076.584.742),-,(70.076.584.742),,,,,-70076584742.0,,-70076584742.0
Thường ban điều hành và cán bộ trọng yếu,Năm nay > Thường ban điều hành và cán bộ trọng yếu,Thường ban điều hành và cán bộ trọng yếu,-,-,-,-,(43.295.897.011),(46.100.492),(43.341.997.503),,,,,-43295897011.0,-46100492.0,-43341997503.0
Khác,Năm nay > Khác,Khác,-,-,10.809.418,-,-,(2.568.801),8.240.617,,,10809418.0,,,-2568801.0,8240617.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.960.749.770.000,30.494.112.981,57.934.418,96.593.759.328,627.792.159.402,207.139.813.195,2.922.827.549.324,1960749770000.0,30494112981.0,57934418.0,96593759328.0,627792159402.0,207139813195.0,2922827549324.0
