row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày > 31.12.2025 Triệu đồng,Năm tài chính kết thúc ngày > 31.12.2024 Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày > 31.12.2025 Triệu đồng,numeric__Năm tài chính kết thúc ngày > 31.12.2024 Triệu đồng
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Giảm các khoản tiền gửi và cho vay các TCTD khác,,2.144.260,566.290,,,2144260.0,566290.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,,(10.243.695),(4.112.640),,,-10243695.0,-4112640.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,,(32.007.568),(29.602.750),,,-32007568.0,-29602750.0
13,Những thay đổi về tài sản hoạt động > 13,13,"Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp các khoản tổn thất",7.8,(2.095.803),(1.935.968),,78.0,-2095803.0,-1935968.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm khác về tài sản hoạt động,,112.992,5.093.622,,,112992.0,5093622.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng/(giảm) các khoản nợ chính phủ và NHNN,,18.754.897,(474.154),,,18754897.0,-474154.0
16,Những thay đổi về công nợ hoạt động > 16,16,"Tăng các khoản tiền gửi, tiền vay các TCTD khác",,24.503.025,18.605.613,,,24503025.0,18605613.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,,23.487.198,23.480.158,,,23487198.0,23480158.0
18,Những thay đổi về công nợ hoạt động > 18,18,(Giảm)/tăng phát hành giấy tờ có giá,,(466.150),13.604.100,,,-466150.0,13604100.0
20,Những thay đổi về công nợ hoạt động > 20,20,(Giảm)/tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,(43.176),196.443,,,-43176.0,196443.0
21,Những thay đổi về công nợ hoạt động > 21,21,Giảm khác về công nợ hoạt động,,(94.230),(86.921),,,-94230.0,-86921.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH,,30.423.240,32.950.471,,,30423240.0,32950471.0
