row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản: > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,23.766.634,(528.152.182.665),,9.0,,23766634.0,-528152182665.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,(510.589.188.718),(1.290.861.120.337),,10.0,,-510589188718.0,-1290861120337.0
"- Tăng, giảm các khoản phải trả","2. Điều chỉnh cho các khoản: > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,,733.659.507.708,486.211.165.330,,11.0,,733659507708.0,486211165330.0
"- Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,,(6.649.920.328),13.956.188.568,,12.0,,-6649920328.0,13956188568.0
"- Tăng, giảm chứng khoán kinh doanh","2. Điều chỉnh cho các khoản: > - Tăng, giảm chứng khoán kinh doanh","- Tăng, giảm chứng khoán kinh doanh","- Tăng, giảm chứng khoán kinh doanh",13,,-,-,,13.0,,,
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,V.17; VI.5; VII.3,(215.234.982.589),(75.485.689.726),,14.0,,-215234982589.0,-75485689726.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,V.15,(53.515.446.737),(15.022.937.671),,15.0,,-53515446737.0,-15022937671.0
- Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > - Tiền thu khác từ hoạt động kinh doanh,- Tiền thu khác từ hoạt động kinh doanh,- Tiền thu khác từ hoạt động kinh doanh,16,,-,-,,16.0,,,
- Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > - Tiền chi khác cho hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,17,,(5.843.913.256),(5.214.216.102),,17.0,,-5843913256.0,-5214216102.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,177.349.142.071,(1.072.999.357.846),,20.0,,177349142071.0,-1072999357846.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chỉ đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 1. Tiền chỉ đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chỉ đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chỉ đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,V.9,(6.674.813.562),(5.201.342.194),,21.0,,-6674813562.0,-5201342194.0
"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,,-,1.702.408.364,,22.0,,,1702408364.0
"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,,-,-,,23.0,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,-,-,,24.0,,,
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. Lưu chuyển tiền từ hoạt động đầu tư > 5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,,-,(6.000.000.000),,25.0,,,-6000000000.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. Lưu chuyển tiền từ hoạt động đầu tư > 6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,-,,26.0,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. Lưu chuyển tiền từ hoạt động đầu tư > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,V.5;VI.4,6.541.382.429,1.746.723.974,,27.0,,6541382429.0,1746723974.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(133.431.133),(7.752.209.856),,30.0,,-133431133.0,-7752209856.0
