row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
Bắt động sản đầu tư,Tài sản > Bắt động sản đầu tư,Bắt động sản đầu tư,48.645.508.853,-,-,7.008.697.877,129.514.914.399,4.584.153.864,-,189.753.274.993,48645508853.0,,,7008697877.0,129514914399.0,4584153864.0,,189753274993.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,357.961.768.712,103.068.662.548,187.356.203.753,13.891.863.931,304.570.703.413,22.844.772.013,-,989.693.974.370,357961768712.0,103068662548.0,187356203753.0,13891863931.0,304570703413.0,22844772013.0,,989693974370.0
Dầu tư tài chính dài hạn,Tài sản > Dầu tư tài chính dài hạn,Dầu tư tài chính dài hạn,7.373.321.973.223,10.000.000.000,31.533.030.158,-,59.332.308.257,13.254.815.032,(3.600.852.159.772),3.886.589.966.898,7373321973223.0,10000000000.0,31533030158.0,,59332308257.0,13254815032.0,-3600852159772.0,3886589966898.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,1.800.986.762.304,120.739.901.084,164.745.761.551,282.701.376.450,123.709.798.297,6.353.333.839,15.222.358.503,2.514.459.292.028,1800986762304.0,120739901084.0,164745761551.0,282701376450.0,123709798297.0,6353333839.0,15222358503.0,2514459292028.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,45.174.827.578.023,9.642.964.410.091,4.464.471.045.875,1.988.662.499.334,6.935.376.027.206,1.740.042.455.425,(8.183.930.177.995),61.762.413.837.959,45174827578023.0,9642964410091.0,4464471045875.0,1988662499334.0,6935376027206.0,1740042455425.0,-8183930177995.0,61762413837959.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,24.090.413.335.557,7.773.527.961.323,3.023.818.407.804,1.004.990.898.956,1.499.349.938.648,861.755.344.931,(4.081.128.809.176),34.172.727.078.043,24090413335557.0,7773527961323.0,3023818407804.0,1004990898956.0,1499349938648.0,861755344931.0,-4081128809176.0,34172727078043.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,158.668.660.744,17.500.000.000,118.791.258.276,119.039.944.150,1.464.236.063.577,16.405.363.637,(228.275.482.586),1.666.365.807.798,158668660744.0,17500000000.0,118791258276.0,119039944150.0,1464236063577.0,16405363637.0,-228275482586.0,1666365807798.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,24.249.081.996.301,7.791.027.961.323,3.142.609.666.080,1.124.030.843.106,2.963.586.002.225,878.160.708.568,(4.309.404.291.762),35.839.092.885.841,24249081996301.0,7791027961323.0,3142609666080.0,1124030843106.0,2963586002225.0,878160708568.0,-4309404291762.0,35839092885841.0
Chi tiêu vốn,Nợ phải trả > Chi tiêu vốn,Chi tiêu vốn,1.413.552.521.998,100.570.805.677,181.545.844.152,25.942.080.112,864.451.093.606,31.837.459.625,(34.568.435.092),2.583.331.370.078,1413552521998.0,100570805677.0,181545844152.0,25942080112.0,864451093606.0,31837459625.0,-34568435092.0,2583331370078.0
Khẩu hao tài sản cố định hữu hình,Nợ phải trả > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,855.060.184.001,91.204.235.448,75.002.794.559,54.811.864.810,695.279.366.149,127.243.949.868,(18.778.873.453),1.879.823.521.382,855060184001.0,91204235448.0,75002794559.0,54811864810.0,695279366149.0,127243949868.0,-18778873453.0,1879823521382.0
Khẩu hao tài sản cố định vô hình,Nợ phải trả > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,50.606.804.068,3.021.321.948,708.642.812,1.051.037.098,1.894.203.054,292.168.740,-,57.574.177.720,50606804068.0,3021321948.0,708642812.0,1051037098.0,1894203054.0,292168740.0,,57574177720.0
Khẩu hao bắt động sản đầu tư,Nợ phải trả > Khẩu hao bắt động sản đầu tư,Khẩu hao bắt động sản đầu tư,2.120.635.447,-,-,182.593.332,6.406.286.756,432.733.248,-,9.142.248.783,2120635447.0,,,182593332.0,6406286756.0,432733248.0,,9142248783.0
