row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,6.914.061.371.258,2.876.271.856.562,8.810.879.015.604,496.359.977.878,18.105.520.219,19.115.677.741.521,6914061371258.0,2876271856562.0,8810879015604.0,496359977878.0,18105520219.0,19115677741521.0
Khẩu hao trong kỳ,Giá trị hao mòn lũy kế > Khẩu hao trong kỳ,Khẩu hao trong kỳ,683.533.883.348,356.343.267.954,859.838.278.864,83.748.742.286,3.144.568.721,1.986.608.741.173,683533883348.0,356343267954.0,859838278864.0,83748742286.0,3144568721.0,1986608741173.0
Chuyển từ/(sang) bắt động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ/(sang) bắt động sản đầu tư,Chuyển từ/(sang) bắt động sản đầu tư,(340.855.861),839.168.572,-,-,279.655.161,777.967.872,-340855861.0,839168572.0,,,279655161.0,777967872.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,(572.648.676),497.280.294,-,-,-,(75.368.382),-572648676.0,497280294.0,,,,-75368382.0
Tăng do thu hồi công ty con (Thuyết minh 5),Giá trị hao mòn lũy kế > Tăng do thu hồi công ty con (Thuyết minh 5),Tăng do thu hồi công ty con (Thuyết minh 5),57.648.706.517,114.365.017.945,26.035.313.474,5.023.027.275,287.566.455,203.359.631.666,57648706517.0,114365017945.0,26035313474.0,5023027275.0,287566455.0,203359631666.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(66.302.590.293),(46.770.284.634),(377.694.189.484),(17.884.941.345),(165.553.000),(508.817.558.756),-66302590293.0,-46770284634.0,-377694189484.0,-17884941345.0,-165553000.0,-508817558756.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(1.519.386.301),(1.885.002.745),(278.981.739),(111.183.595),(109.241.096),(3.903.795.476),-1519386301.0,-1885002745.0,-278981739.0,-111183595.0,-109241096.0,-3903795476.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,7.586.508.479.992,3.299.661.303.948,9.318.779.436.719,567.135.622.499,21.542.516.460,20.793.627.359.618,7586508479992.0,3299661303948.0,9318779436719.0,567135622499.0,21542516460.0,20793627359618.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu kỳ,Giá trị còn lại > Số dư đầu kỳ,Số dư đầu kỳ,6.545.668.841.158,1.329.620.377.768,5.294.734.110.498,121.974.186.400,10.920.191.631,13.302.917.707.455,6545668841158.0,1329620377768.0,5294734110498.0,121974186400.0,10920191631.0,13302917707455.0
Số dư cuối kỳ,Giá trị còn lại > Số dư cuối kỳ,Số dư cuối kỳ,6.823.833.142.483,1.345.963.291.505,5.090.161.654.479,124.727.547.141,11.094.006.594,13.395.779.642.202,6823833142483.0,1345963291505.0,5090161654479.0,124727547141.0,11094006594.0,13395779642202.0
