row_label_raw,row_label_full,TÀI SẢN NGĂN HẠN,Mã số,TM,31/12/2018,01/01/2018,numeric__Mã số,numeric__TM,numeric__31/12/2018,numeric__01/01/2018
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),229,,(7.476.926.886),(4.879.704.116),229.0,,-7476926886.0,-4879704116.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.7,73.596.749.998,83.973.363.731,240.0,57.0,73596749998.0,83973363731.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,1.055.479.022,241.0,,,1055479022.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,73.596.749.998,82.917.884.709,242.0,,73596749998.0,82917884709.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,1.223.496.734.159,1.010.113.524.479,250.0,52.0,1223496734159.0,1010113524479.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.224.938.734.159,1.096.124.960.279,253.0,,1224938734159.0,1096124960279.0
Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),254,,(1.442.000.000),(86.011.435.800),254.0,,-1442000000.0,-86011435800.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,1.203.638.847.674,1.403.883.899.999,260.0,,1203638847674.0,1403883899999.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.10,1.024.282.284.224,1.213.800.961.781,261.0,510.0,1024282284224.0,1213800961781.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,179.356.563.450,190.082.938.218,263.0,,179356563450.0,190082938218.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,,-,-,269.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,24.395.568.176.696,25.070.505.813.726,270.0,,24395568176696.0,25070505813726.0
