row_label_raw,row_label_full,Name of Investees,Place of establishment and operating,Rate of interest,Rate of voting rights,Principal activities,numeric__Place of establishment and operating,numeric__Rate of interest,numeric__Rate of voting rights,numeric__Principal activities
"- Kon Tum Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Kon Tum Rubber Co., Ltd","- Kon Tum Rubber Co., Ltd",Quang Ngai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Mang Yang Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Mang Yang Rubber Co., Ltd","- Mang Yang Rubber Co., Ltd",Gia Lai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Chu Pah Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Chu Pah Rubber Co., Ltd","- Chu Pah Rubber Co., Ltd",Gia Lai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Quang Nam Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Quang Nam Rubber Co., Ltd","- Quang Nam Rubber Co., Ltd",Danang City,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Nam Giang - Quang Nam Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Nam Giang - Quang Nam Rubber Co., Ltd","- Nam Giang - Quang Nam Rubber Co., Ltd",Danang City,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Ha Tinh Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Ha Tinh Rubber Co., Ltd","- Ha Tinh Rubber Co., Ltd",Ha Tinh province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Huong Khe - Ha Tinh Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Huong Khe - Ha Tinh Rubber Co., Ltd","- Huong Khe - Ha Tinh Rubber Co., Ltd",Ha Tinh province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Thanh Hoa Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Thanh Hoa Rubber Co., Ltd","- Thanh Hoa Rubber Co., Ltd",Thanh Hoa province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Quang Tri Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Quang Tri Rubber Co., Ltd","- Quang Tri Rubber Co., Ltd",Quang Tri province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Binh Thuan Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Binh Thuan Rubber Co., Ltd","- Binh Thuan Rubber Co., Ltd",Lam Dong province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Quang Ngai Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Quang Ngai Rubber Co., Ltd","- Quang Ngai Rubber Co., Ltd",Quang Ngai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
- Mien Dong College,Subsidiaries with 100% of contributed capital > - Mien Dong College,- Mien Dong College,Ho Chi Minh City,100.00%,100.00%,Education,,100.0,100.0,
- Vietnam Rubber Magazine,Subsidiaries with 100% of contributed capital > - Vietnam Rubber Magazine,- Vietnam Rubber Magazine,Ho Chi Minh City,100.00%,100.00%,Non-business entities,,100.0,100.0,
- Rubber Medical Center,Subsidiaries with 100% of contributed capital > - Rubber Medical Center,- Rubber Medical Center,Ho Chi Minh City,100.00%,100.00%,Medical,,100.0,100.0,
- Rubber Research Institute of Vietnam,Subsidiaries with 100% of contributed capital > - Rubber Research Institute of Vietnam,- Rubber Research Institute of Vietnam,Ho Chi Minh City,100.00%,100.00%,Rubber research,,100.0,100.0,
