row_label_raw,row_label_full,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_2,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_3,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_4,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_5,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_2,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_3,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_4,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019_5
Chi tiêu,Chi tiêu,Chi tiêu,Sản phẩm lọc hóa dấu VND,Nhiên liệu sinh học VND,Sản xuất bao bì và thường mại dịch vụ VND,Loại trừ nội bộ VND,Tổng VND,,,,,
Doanh thu thuần,Chi tiêu > Doanh thu thuần,Doanh thu thuần,56.055.058.673.292,479.925.918,235.357.954.756,(232.054.124.846),56.058.842.429.120,56055058673292.0,479925918.0,235357954756.0,-232054124846.0,56058842429120.0
Chi phí sản xuất kinh doanh,Chi tiêu > Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,55.617.370.619.340,41.729.470.141,227.716.832.141,(232.265.640.692),55.654.551.280.930,55617370619340.0,41729470141.0,227716832141.0,-232265640692.0,55654551280930.0
- Giá vốn hàng bán,Chi tiêu > - Giá vốn hàng bán,- Giá vốn hàng bán,55.075.966.629.888,39.855.417.799,217.835.660.529,(222.368.029.605),55.111.289.678.611,55075966629888.0,39855417799.0,217835660529.0,-222368029605.0,55111289678611.0
- Chi phí bán hàng,Chi tiêu > - Chi phí bán hàng,- Chi phí bán hàng,373.252.220.045,-,1.382.220.149,-,374.634.440.194,373252220045.0,,1382220149.0,,374634440194.0
- Chi phí quản lý doanh nghiệp,Chi tiêu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,168.151.769.407,1.874.052.342,8.498.951.463,(9.897.611.087),168.627.162.125,168151769407.0,1874052342.0,8498951463.0,-9897611087.0,168627162125.0
Kết quả kinh doanh theo bộ phận,Chi tiêu > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,437.688.053.952,(41.249.544.223),7.641.122.615,211.515.846,404.291.148.190,437688053952.0,-41249544223.0,7641122615.0,211515846.0,404291148190.0
Doanh thu hoạt động tải chính,Chi tiêu > Doanh thu hoạt động tải chính,Doanh thu hoạt động tải chính,,,,,335.764.591.549,,,,,335764591549.0
Chi phí tài chính,Chi tiêu > Chi phí tài chính,Chi phí tài chính,,,,,494.697.028.827,,,,,494697028827.0
Lợi nhuận khác,Chi tiêu > Lợi nhuận khác,Lợi nhuận khác,,,,,8.065.879.882,,,,,8065879882.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Chi tiêu > Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,253.424.590.794,,,,,253424590794.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi tiêu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,24.811.999.472,,,,,24811999472.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi tiêu > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,2.473.429.601,,,,,2473429601.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi tiêu > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,226.139.161.721,,,,,226139161721.0
