row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 31/12/2019,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 01/01/2019,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 31/12/2019,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 01/01/2019,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_4
Chi phí xây dựng cơ bản dở dangCộng,Các khoản khác > Chi phí xây dựng cơ bản dở dangCộng,Chi phí xây dựng cơ bản dở dangCộng,Chi phí xây dựng cơ bản dở dangCộng,Chi phí xây dựng cơ bản dở dangCộng,2.739.939.596,6.506.579.031,,,,,2739939596.0,6506579031.0,,
13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,31/12/2019,31/12/2019,Trong năm,Trong năm,01/01/2019,01/01/2019,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn - VND,a) Vay ngắn hạn > Vay ngắn hạn - VND,Vay ngắn hạn - VND,134.806.331.880,134.806.331.880,251.689.629.997,220.966.416.915,104.083.118.798,104.083.118.798,134806331880.0,134806331880.0,251689629997.0,220966416915.0,104083118798.0,104083118798.0
- NH Công Thương CN Đà Nẵng,a) Vay ngắn hạn > - NH Công Thương CN Đà Nẵng,- NH Công Thương CN Đà Nẵng,128.948.442.820,128.948.442.820,217.689.629.997,188.566.551.041,99.825.363.864,99.825.363.864,128948442820.0,128948442820.0,217689629997.0,188566551041.0,99825363864.0,99825363864.0
"- Cán bộ, công nhân viên","a) Vay ngắn hạn > - Cán bộ, công nhân viên","- Cán bộ, công nhân viên",3.857.889.060,3.857.889.060,,399.865.874,4.257.754.934,4.257.754.934,3857889060.0,3857889060.0,,399865874.0,4257754934.0,4257754934.0
- Công ty CP tập đoàn Đèo cả,a) Vay ngắn hạn > - Công ty CP tập đoàn Đèo cả,- Công ty CP tập đoàn Đèo cả,,,32.000.000.000,32.000.000.000,,,,,32000000000.0,32000000000.0,,
- Công ty Cổ Phần Tư Văn Xây dựng A2Z,a) Vay ngắn hạn > - Công ty Cổ Phần Tư Văn Xây dựng A2Z,- Công ty Cổ Phần Tư Văn Xây dựng A2Z,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0,,,
Cộng,a) Vay ngắn hạn > Cộng,Cộng,134.806.331.880,134.806.331.880,251.689.629.997,220.966.416.915,104.083.118.798,104.083.118.798,134806331880.0,134806331880.0,251689629997.0,220966416915.0,104083118798.0,104083118798.0
