row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2016Nghìn VND,Tập đoàn > 1/1/2016Nghìn VND,Công ty > 31/12/2016Nghìn VND,Công ty > 1/1/2016Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2016Nghìn VND,numeric__Tập đoàn > 1/1/2016Nghìn VND,numeric__Công ty > 31/12/2016Nghìn VND,numeric__Công ty > 1/1/2016Nghìn VND
Dự phòng phải trả dài hạn,NGUỒN VỐN > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,19,584.345.282,582.228.702,-,-,342.0,19.0,584345282.0,582228702.0,,
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,11.710.480.283,11.595.134.409,9.443.781.242,9.361.488.697,400.0,,11710480283.0,11595134409.0,9443781242.0,9361488697.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,410,21,11.710.480.283,11.595.134.409,9.443.781.242,9.361.488.697,410.0,21.0,11710480283.0,11595134409.0,9443781242.0,9361488697.0
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,22,7.194.473.280,7.194.473.280,7.194.473.280,7.194.473.280,411.0,22.0,7194473280.0,7194473280.0,7194473280.0,7194473280.0
- Có phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Có phiếu phổ thông có quyền biểu quyết,- Có phiếu phổ thông có quyền biểu quyết,411a,,7.035.448.980,7.035.448.980,7.035.448.980,7.035.448.980,,,7035448980.0,7035448980.0,7035448980.0,7035448980.0
- Có phiếu ưu đãi,NGUỒN VỐN > - Có phiếu ưu đãi,- Có phiếu ưu đãi,411b,,159.024.300,159.024.300,159.024.300,159.024.300,,,159024300.0,159024300.0,159024300.0,159024300.0
Thặng dư vốn cổ phần,NGUỒN VỐN > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,22,1.944.327.324,1.944.327.324,1.944.327.324,1.944.327.324,412.0,22.0,1944327324.0,1944327324.0,1944327324.0,1944327324.0
Vốn khác của chủ sở hữu,NGUỒN VỐN > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(295.683.347),(295.683.347),-,-,414.0,,-295683347.0,-295683347.0,,
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,2.551.804.716,2.441.963.692,304.980.638,222.688.093,421.0,,2551804716.0,2441963692.0,304980638.0,222688093.0
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,NGUỒN VỐN > - Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,2.441.963.692,2.289.827.945,222.688.093,262.571.213,,,2441963692.0,2289827945.0,222688093.0,262571213.0
- Lợi nhuận sau thuế chưa phân phối/(lỗ) năm nay,NGUỒN VỐN > - Lợi nhuận sau thuế chưa phân phối/(lỗ) năm nay,- Lợi nhuận sau thuế chưa phân phối/(lỗ) năm nay,421b,,109.841.024,152.135.747,82.292.545,(39.883.120),,,109841024.0,152135747.0,82292545.0,-39883120.0
Lợi ích cổ đông không kiểm soát,NGUỒN VỐN > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,315.558.310,310.053.460,-,-,429.0,,315558310.0,310053460.0,,
TỔNG NGUỒN VỐN (440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,26.535.498.449,26.607.706.897,10.025.046.015,10.079.646.879,440.0,,26535498449.0,26607706897.0,10025046015.0,10079646879.0
