row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác_1,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác_1,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,- Bằng VND,37.083.598,29.265.047,,37083598.0,29265047.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,2.236.498,3.081.873,,2236498.0,3081873.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,216,214,,216.0,214.0
Tiền gửi kỳ quỹ,- Thuyết minh theo loại tiền gửi > Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,194.529,113.784,,194529.0,113784.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,- Bằng VND,171.352,74.503,,171352.0,74503.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,23.176,39.281,,23176.0,39281.0
Tổng cộng,- Thuyết minh theo loại tiền gửi > Tổng cộng,Tổng cộng,Tổng cộng,41.791.705,34.030.972,,41791705.0,34030972.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",,,,,
,,,,31/12/2016,01/01/2016,,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,Tiền gửi của TCKT,6.672.727,5.105.049,,6672727.0,5105049.0
Doanh nghiệp nhà nước,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp nhà nước",Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,955.768,930.926,,955768.0,930926.0
"Công ty CP, TNHH, Hợp danh, Tài chính","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty CP, TNHH, Hợp danh, Tài chính","Công ty CP, TNHH, Hợp danh, Tài chính","Công ty CP, TNHH, Hợp danh, Tài chính",4.454.015,2.804.943,,4454015.0,2804943.0
Công ty Tư nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty Tư nhân",Công ty Tư nhân,Công ty Tư nhân,1.176.171,1.073.955,,1176171.0,1073955.0
"Doanh nghiệp tư nhân, Kinh tế tập thể","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp tư nhân, Kinh tế tập thể","Doanh nghiệp tư nhân, Kinh tế tập thể","Doanh nghiệp tư nhân, Kinh tế tập thể",62.844,191.544,,62844.0,191544.0
Doanh nghiệp có vốn đầu tư nước ngoài,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài",Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,23.928,103.682,,23928.0,103682.0
Tiền gửi của cá nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của cá nhân",Tiền gửi của cá nhân,Tiền gửi của cá nhân,35.118.978,28.925.923,,35118978.0,28925923.0
Tổng cộng,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tổng cộng",Tổng cộng,Tổng cộng,41.791.705,34.030.972,,41791705.0,34030972.0
