row_label_raw,row_label_full,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2
- Bằng ngoại tệ,17.1. Tiền gửi của các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,22.890,8,22890.0,8.0
b. Tiền gửi có kỳ hạn,17.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,2.619.200,2.298.124,2619200.0,2298124.0
- Bằng VND,17.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,1.436.700,420.000,1436700.0,420000.0
- Bằng và ngoại tệ,17.1. Tiền gửi của các TCTD khác > - Bằng và ngoại tệ,- Bằng và ngoại tệ,1.182.500,1.878.124,1182500.0,1878124.0
Cộng,17.1. Tiền gửi của các TCTD khác > Cộng,Cộng,2.821.004,2.340.861,2821004.0,2340861.0
17.2. Vay các TCTD khác,17.2. Vay các TCTD khác,17.2. Vay các TCTD khác,17.2. Vay các TCTD khác,17.2. Vay các TCTD khác,,
- Bằng VND,17.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,-,741,,741.0
+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam -CN SGD 3,17.2. Vay các TCTD khác > + Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam -CN SGD 3,+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam -CN SGD 3,-,741,,741.0
- Bằng ngoại tệ,17.2. Vay các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,1.311,1.429,1311.0,1429.0
+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,17.2. Vay các TCTD khác > + Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,1.311,1.429,1311.0,1429.0
Cộng,17.2. Vay các TCTD khác > Cộng,Cộng,1.311,2.170,1311.0,2170.0
Tổng cộng tiền gửi và vay TCTD khác,17.2. Vay các TCTD khác > Tổng cộng tiền gửi và vay TCTD khác,Tổng cộng tiền gửi và vay TCTD khác,2.822.315,2.343.031,2822315.0,2343031.0
