row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.772.127.262.091,1.855.293.683.494,124.269.214.742,24.786.293.639,-,3.776.476.453.966,1772127262091.0,1855293683494.0,124269214742.0,24786293639.0,,3776476453966.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,288.474.023.449,610.339.241.049,42.162.619.209,4.792.680.337,11.389.224.808,957.157.788.852,288474023449.0,610339241049.0,42162619209.0,4792680337.0,11389224808.0,957157788852.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,1.448.780.593.754,2.802.665.219.620,181.731.720.819,18.025.475.544,19.160.289.725,4.470.363.299.462,1448780593754.0,2802665219620.0,181731720819.0,18025475544.0,19160289725.0,4470363299462.0
Mua lại tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,-,9.474.828.167,4.377.208.222,-,-,13.852.036.389,,9474828167.0,4377208222.0,,,13852036389.0
Giảm do thoái vốn tại Công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,-,(8.799.202.769),-,-,-,(8.799.202.769),,-8799202769.0,,,,-8799202769.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.859.102.587),(52.922.075.818),(8.609.420.106),(1.453.783.039),-,(64.844.381.550),-1859102587.0,-52922075818.0,-8609420106.0,-1453783039.0,,-64844381550.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,(4.929.035.457),4.929.035.457,-,-,-,,-4929035457.0,4929035457.0,,,
Giả do phá dỡ làm dự án,GIÁ TRỊ HAO MÒN LỦY KẾ > Giả do phá dỡ làm dự án,Giả do phá dỡ làm dự án,(28.019.536.197),-,-,-,-,(28.019.536.197),-28019536197.0,,,,,-28019536197.0
Tăng/(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(109.380.006),495.547.312,4.583.048.642,143.336.870,(114.606.436),4.997.946.382,-109380006.0,495547312.0,4583048642.0,143336870.0,-114606436.0,4997946382.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.479.393.860.504,5.211.618.205.598,353.443.426.985,46.294.003.351,30.434.908.097,9.121.184.404.535,3479393860504.0,5211618205598.0,353443426985.0,46294003351.0,30434908097.0,9121184404535.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.712.780.127.768,2.580.987.117.891,94.719.072.918,11.981.410.914,-,5.400.467.729.491,2712780127768.0,2580987117891.0,94719072918.0,11981410914.0,,5400467729491.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,5.671.413.578.712,10.199.147.581.483,243.104.453.453,17.735.641.683,152.834.136.645,16.284.235.391.976,5671413578712.0,10199147581483.0,243104453453.0,17735641683.0,152834136645.0,16284235391976.0
