row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư IP Việt Nam,Mối quan hệ > Công ty có chung thành viên HĐQT,Nội dung nghiệp vụ > Lãi vay phải trả > Lãi vay đã trả > Trả gốc vay,Năm nay > -,Năm trước > 2.821.506.850 > 4.795.736.987 > 57.000.000.000,numeric__Mối quan hệ > Công ty có chung thành viên HĐQT,numeric__Nội dung nghiệp vụ > Lãi vay phải trả > Lãi vay đã trả > Trả gốc vay,numeric__Năm nay > -,numeric__Năm trước > 2.821.506.850 > 4.795.736.987 > 57.000.000.000
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Phí thuê mặt bằng đã trả,3.022.086.360,2.135.804.762,,,3022086360.0,2135804762.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Trả cổ tức bằng cổ phần,28.042.890.000,-,,,28042890000.0,
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty có chung thành viên HĐQT (đến ngày 16 tháng 9 năm 2022),Phí dịch vụ thi công đã trả,174.418.682.304,251.216.705.158,,,174418682304.0,251216705158.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty có chung thành viên HĐQT (đến ngày 16 tháng 9 năm 2022),Phí dịch vụ thi công phải trả,210.925.340.884,244.898.794.204,,,210925340884.0,244898794204.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty có chung thành viên HĐQT (đến ngày 16 tháng 9 năm 2022),Tạm ứng thi công,-,4.900.000.000,,,,4900000000.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty có chung thành viên HĐQT (đến ngày 16 tháng 9 năm 2022),Doanh thu cung cấp dịch vụ,374.864.989,425.414.192,,,374864989.0,425414192.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty có chung thành viên HĐQT (đến ngày 16 tháng 9 năm 2022),Thu tiền phí tư vấn quản lý,-,3.663.841.264,,,,3663841264.0
Nguyễn Trọng Minh,Nguyễn Trọng Minh,Nguyễn Trọng Minh,Phó chủ tịch HĐQT,Thu hồi gốc đi vay,-,40.000.000.000,,,,40000000000.0
Nguyễn Trọng Minh,Nguyễn Trọng Minh,Nguyễn Trọng Minh,Phó chủ tịch HĐQT,Tạm ứng,520.400.000,48.546.000.000,,,520400000.0,48546000000.0
Nguyễn Trọng Minh,Nguyễn Trọng Minh,Nguyễn Trọng Minh,Phó chủ tịch HĐQT,Hoàn ứng,-,12.279.000.000,,,,12279000000.0
Chu Tuấn Anh,Chu Tuấn Anh,Chu Tuấn Anh,Phó Tổng Giám đốc,Doanh thu chuyển nhượng bất động sản,-,6.945.739.964,,,,6945739964.0
Chu Tuấn Anh,Chu Tuấn Anh,Chu Tuấn Anh,Phó Tổng Giám đốc,Nộp tiền mua bất động sản,-,8.355.000.000,,,,8355000000.0
Đào Hữu Khanh,Đào Hữu Khanh,Đào Hữu Khanh,Ủy viên HĐQT (miễn nhiệm ngày 16 tháng 9 năm 2022),Trả cổ tức bằng cổ phần,154.230.000,-,,,154230000.0,
Đào Hữu Khanh,Đào Hữu Khanh,Đào Hữu Khanh,Ủy viên HĐQT (miễn nhiệm ngày 16 tháng 9 năm 2022),Nộp tiền mua bất động sản,-,7.776.725.000,,,,7776725000.0
