row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Dưới 1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ 1 đến 3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 3 đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 6 đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 1 đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2014 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Dưới 1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ 1 đến 3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 3 đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 6 đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 1 đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > TổngTriệu VND
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.817.157,18.642.796,74.386.650,35.177.815,11.063.282,13.553.850,3.544.773,3.258.824,162.445.147,2817157.0,18642796.0,74386650.0,35177815.0,11063282.0,13553850.0,3544773.0,3258824.0,162445147.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,-,-,6.613,-,-,-,6.613,,,,,6613.0,,,,6613.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,6.093,24.731.255,15.343.892,962.100,-,-,-,41.043.340,,6093.0,24731255.0,15343892.0,962100.0,,,,41043340.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,44.437.638,15.025.027,8.277.305,14.372.538,19.356.093,2.827,101.471.428,,,44437638.0,15025027.0,8277305.0,14372538.0,19356093.0,2827.0,101471428.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,8.378,-,-,-,-,3.000.000,3.008.378,,,8378.0,,,,,3000000.0,3008378.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.396.599,-,-,-,-,-,-,2.396.599,,2396599.0,,,,,,,2396599.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,2.402.692,69.177.271,30.368.919,9.246.018,14.372.538,19.356.093,3.002.827,147.926.358,,2402692.0,69177271.0,30368919.0,9246018.0,14372538.0,19356093.0,3002827.0,147926358.0
Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],2.817.157,16.240.104,5.209.379,4.808.896,1.817.264,(818.688),(15.811.320),255.997,14.518.789,2817157.0,16240104.0,5209379.0,4808896.0,1817264.0,-818688.0,-15811320.0,255997.0,14518789.0
Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Nợ phải trả > Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Mức chênh nhạy cảm với lãi suấtngoại bảng (4),-,(9.113.975),-,-,-,-,-,-,(9.113.975),,-9113975.0,,,,,,,-9113975.0
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]",2.817.157,7.126.129,5.209.379,4.808.896,1.817.264,(818.688),(15.811.320),255.997,5.404.814,2817157.0,7126129.0,5209379.0,4808896.0,1817264.0,-818688.0,-15811320.0,255997.0,5404814.0
