row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm 2024 VND,Năm 2023 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm 2024 VND,numeric__Năm 2023 VND
1.,II. > 1.,1.,Tiền chi để mua sắm XD TSCĐ và các TS DH khác,21,(252.774.678.154),(219.442.528.152),,21.0,-252774678154.0,-219442528152.0
2.,II. > 2.,2.,"Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác",22,4.758.938.870,448.861.168,,22.0,4758938870.0,448861168.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(12.784.000.000.000),(10.554.000.000.000),,23.0,-12784000000000.0,-10554000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác",24,11.650.000.000.000,8.685.000.000.000,,24.0,11650000000000.0,8685000000000.0
5.,II. > 5.,5.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,231.054.182.522,306.386.890.947,,27.0,231054182522.0,306386890947.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.150.961.556.762),(1.781.606.776.037),,30.0,-1150961556762.0,-1781606776037.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
1.,III. > 1.,1.,"Tiền thu từ PH cổ phiếu, nhận vốn góp của CSH",31,282.428.538.646,-,,31.0,282428538646.0,
2.,III. > 2.,2.,Tiền thu từ đi vay,33,7.350.587.854.135,6.761.780.787.221,,33.0,7350587854135.0,6761780787221.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(7.048.323.266.865),(6.246.359.786.374),,34.0,-7048323266865.0,-6246359786374.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.216.336.172.000),(1.054.889.415.600),,36.0,-1216336172000.0,-1054889415600.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(631.643.046.084),(539.468.414.753),,40.0,-631643046084.0,-539468414753.0
,,,Lưu chuyển tiền thuần trong kỳ,50,250.001.121.963,87.046.328.766,,50.0,250001121963.0,87046328766.0
,,,Tiền và tương đương tiền đầu kỳ,60,289.482.272.858,202.619.119.038,,60.0,289482272858.0,202619119038.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(280.636.822),(183.174.946),,61.0,-280636822.0,-183174946.0
,,,Tiền và tương đương tiền cuối kỳ,70,539.202.757.999,289.482.272.858,,70.0,539202757999.0,289482272858.0
