row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2023 > Giá gốc,Ngày 31 tháng 12 năm 2023 > Giá trị ghi số(sau khi trích lập dự phòng),Ngày 31 tháng 12 năm 2022 > Giá gốc,Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2023 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2023 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng)
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,26.089.952.616,9.335.322.847,26.082.158.236,10.071.077.626,26089952616.0,9335322847.0,26082158236.0,10071077626.0
,,,78.889.952.616,32.749.497.847,78.882.158.236,37.411.577.626,78889952616.0,32749497847.0,78882158236.0,37411577626.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,
BVPF,Chứng chỉ quỹ > BVPF,BVPF,77.000.000.000,77.000.000.000,77.000.000.000,77.000.000.000,77000000000.0,77000000000.0,77000000000.0,77000000000.0
BVBF,Chứng chỉ quỹ > BVBF,BVBF,60.000.000.000,60.000.000.000,60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,60000000000.0,60000000000.0
BVFED,Chứng chỉ quỹ > BVFED,BVFED,55.000.000.000,55.000.000.000,55.000.000.000,55.000.000.000,55000000000.0,55000000000.0,55000000000.0,55000000000.0
E1VFVN30,Chứng chỉ quỹ > E1VFVN30,E1VFVN30,36.070.642.840,36.070.642.840,37.103.641.629,34.661.559.700,36070642840.0,36070642840.0,37103641629.0,34661559700.0
Khác,Chứng chỉ quỹ > Khác,Khác,56.293.969.800,55.818.322.851,36.275.001.731,33.156.292.770,56293969800.0,55818322851.0,36275001731.0,33156292770.0
,,,284.364.612.640,283.888.965.691,265.378.643.360,259.817.852.470,284364612640.0,283888965691.0,265378643360.0,259817852470.0
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,,,
Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Trái phiếu > Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,199.999.994.934,199.999.994.934,49.999.965.684,49.999.965.684,199999994934.0,199999994934.0,49999965684.0,49999965684.0
Công ty Cổ phần Máy tinh - Truyền thông - Điều khiển 3C,Trái phiếu > Công ty Cổ phần Máy tinh - Truyền thông - Điều khiển 3C,Công ty Cổ phần Máy tinh - Truyền thông - Điều khiển 3C,63.322.561.630,63.322.561.630,-,-,63322561630.0,63322561630.0,,
Công ty Cổ phần Thương mại Dịch vụ TNS Holdings,Trái phiếu > Công ty Cổ phần Thương mại Dịch vụ TNS Holdings,Công ty Cổ phần Thương mại Dịch vụ TNS Holdings,50.983.100.000,50.983.100.000,-,-,50983100000.0,50983100000.0,,
Ngân hàng Thương mại Cổ phần Bảo Việt,Trái phiếu > Ngân hàng Thương mại Cổ phần Bảo Việt,Ngân hàng Thương mại Cổ phần Bảo Việt,50.325.953.400,50.325.953.400,-,-,50325953400.0,50325953400.0,,
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Trái phiếu > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,-,-,50.000.000.000,50.000.000.000,,,50000000000.0,50000000000.0
Khác,Trái phiếu > Khác,Khác,77.954.438.500,77.954.438.500,86.928.475.097,86.928.475.097,77954438500.0,77954438500.0,86928475097.0,86928475097.0
,,,442.586.048.464,442.586.048.464,186.928.440.781,186.928.440.781,442586048464.0,442586048464.0,186928440781.0,186928440781.0
TỔNG CỘNG,Trái phiếu > TỔNG CỘNG,TỔNG CỘNG,3.266.850.541.874,3.060.793.683.756,2.925.305.389.000,2.625.284.601.086,3266850541874.0,3060793683756.0,2925305389000.0,2625284601086.0
