row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND
Các khoản không chịu thuế phát sinh từ các bút toán điều chỉnh hợp nhất,Các khoản điều chỉnh giảm > Các khoản không chịu thuế phát sinh từ các bút toán điều chỉnh hợp nhất,Các khoản không chịu thuế phát sinh từ các bút toán điều chỉnh hợp nhất,(3.686.549.392),(208.570.726.049),-3686549392.0,-208570726049.0
Các khoản không chịu thuế,Các khoản điều chỉnh giảm > Các khoản không chịu thuế,Các khoản không chịu thuế,(193.041.582.889),224.925.771.502,-193041582889.0,224925771502.0
Tổng điều chỉnh đối với lợi nhuận trước thuế,Các khoản điều chỉnh giảm > Tổng điều chỉnh đối với lợi nhuận trước thuế,Tổng điều chỉnh đối với lợi nhuận trước thuế,(370.887.588.971),(94.601.051.790),-370887588971.0,-94601051790.0
Thu nhập chịu thuế (“TNCT”) ước tính,Các khoản điều chỉnh giảm > Thu nhập chịu thuế (“TNCT”) ước tính,Thu nhập chịu thuế (“TNCT”) ước tính,1.865.411.111.203,1.915.562.511.841,1865411111203.0,1915562511841.0
- TNCT chịu thuế suất 10%,Các khoản điều chỉnh giảm > - TNCT chịu thuế suất 10%,- TNCT chịu thuế suất 10%,1.083.876.574,704.245.951,1083876574.0,704245951.0
- TNCT chịu thuế suất 20%,Các khoản điều chỉnh giảm > - TNCT chịu thuế suất 20%,- TNCT chịu thuế suất 20%,1.864.327.234.629,1.914.858.265.890,1864327234629.0,1914858265890.0
Thuế TNDN hiện hành ước tính trong năm,Các khoản điều chỉnh giảm > Thuế TNDN hiện hành ước tính trong năm,Thuế TNDN hiện hành ước tính trong năm,372.973.834.582,383.042.077.773,372973834582.0,383042077773.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh giảm > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,88.021.340.898,131.489.194.220,88021340898.0,131489194220.0
Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,Các khoản điều chỉnh giảm > Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,50.285.681,-,50285681.0,
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh giảm > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(360.202.939.230),(426.509.931.095),-360202939230.0,-426509931095.0
Thuế TNDN phải trả cuối năm,Các khoản điều chỉnh giảm > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,100.842.521.931,88.021.340.898,100842521931.0,88021340898.0
