row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp),THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_4
Chi phí khác,Năm 2025 > Chi phí khác,Chi phí khác,,,,(7.993.268),,,,-7993268.0
Chi phí thuế TNDN hiện hành,Năm 2025 > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(78.293.776.585),,,,-78293776585.0
Chi phí thuế TNDN hoãn lại,Năm 2025 > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,104.376.196.246,,,,104376196246.0
Lợi nhuận sau thuế Thu nhập doanh nghiệp,Năm 2025 > Lợi nhuận sau thuế Thu nhập doanh nghiệp,Lợi nhuận sau thuế Thu nhập doanh nghiệp,,,,661.745.908.696,,,,661745908696.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm 2025 > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,888.975.889,888.975.889,,,888975889.0,888975889.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Năm 2025 > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,2.257.847.962,-,31.871.214.973,34.129.062.935,2257847962.0,,31871214973.0,34129062935.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Số tại 31/12/2025,Số tại 31/12/2025,Số tại 31/12/2025,,,,,,,,
Tài sản trực tiếp của bộ phận,Số tại 31/12/2025 > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,2.839.313.699.750,20.177.732.867,698.852.122.607,3.558.343.555.224,2839313699750.0,20177732867.0,698852122607.0,3558343555224.0
Các tài sản không phân bổ theo bộ phận,Số tại 31/12/2025 > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,9.857.560.833.290,,,,9857560833290.0
Tổng tài sản,Số tại 31/12/2025 > Tổng tài sản,Tổng tài sản,,,,13.415.904.388.514,,,,13415904388514.0
Nợ phải trả trực tiếp của bộ phận,Số tại 31/12/2025 > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,6.235.961.090.247,738.320.125.170,189.568.913.227,7.163.850.128.644,6235961090247.0,738320125170.0,189568913227.0,7163850128644.0
Nợ phải trả không phân bổ theo bộ phận,Số tại 31/12/2025 > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,357.219.309.480,,,,357219309480.0
Tổng nợ phải trả,Số tại 31/12/2025 > Tổng nợ phải trả,Tổng nợ phải trả,,,,7.521.069.438.124,,,,7521069438124.0
