row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ sở hữu,numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu
"Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty con > Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")",Tỉnh Long An,Xây dựng và bất động sản,"99,91",,,99.91
"Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")","Công ty con > Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")","Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")",TPHCM,Xây dựng và bất động sản,100,,,100.0
"Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Nguyên Phúc (""Nguyên Phúc"")","Công ty con > Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Nguyên Phúc (""Nguyên Phúc"")","Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Nguyên Phúc (""Nguyên Phúc"")",TPHCM,Bắt động sản,"50,00",,,50.0
"Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Thảo Nguyên (""Thảo Nguyên"")","Công ty con > Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Thảo Nguyên (""Thảo Nguyên"")","Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Thảo Nguyên (""Thảo Nguyên"")",TPHCM,Bắt động sản,"50,00",,,50.0
"Công ty TNHH NLG – NNR – HR Fuji (""NLG – NNR – HR Fuji"")","Công ty con > Công ty TNHH NLG – NNR – HR Fuji (""NLG – NNR – HR Fuji"")","Công ty TNHH NLG – NNR – HR Fuji (""NLG – NNR – HR Fuji"")",TPHCM,Xây dựng và bất động sản,"50,00",,,50.0
"Công ty TNHH NNH Kikyo Flora (""Kikyo Flora"")","Công ty con > Công ty TNHH NNH Kikyo Flora (""Kikyo Flora"")","Công ty TNHH NNH Kikyo Flora (""Kikyo Flora"")",TPHCM,Bắt động sản,"50,00",,,50.0
"Công ty TNHH NNH Kikyo Valora (""Kikyo Valora"")","Công ty con > Công ty TNHH NNH Kikyo Valora (""Kikyo Valora"")","Công ty TNHH NNH Kikyo Valora (""Kikyo Valora"")",TPHCM,Bắt động sản,"50,00",,,50.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,
"Công ty TNHH Phát triển Gamuda - Nam Long (""Gamuda – Nam Long"")","Công ty liên doanh > Công ty TNHH Phát triển Gamuda - Nam Long (""Gamuda – Nam Long"")","Công ty TNHH Phát triển Gamuda - Nam Long (""Gamuda – Nam Long"")",TPHCM,Bắt động sản,"30,00",,,30.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Công ty TNHH Okamura Tokyo,Công ty liên kết > Công ty TNHH Okamura Tokyo,Công ty TNHH Okamura Tokyo,TPHCM,Bắt động sản,"31,10",,,31.1
