row_label_raw,row_label_full,31 tháng 12 năm 2016,Quá hạnVND > 31 tháng 12 năm 2016,Không kỳ hạnVND > 31 tháng 12 năm 2016,Đên 01 namVND > 31 tháng 12 năm 2016,Tư 01 – 05 namVND > 31 tháng 12 năm 2016,Tren 05 namVND > 31 tháng 12 năm 2016,Tổng cộngVND > 31 tháng 12 năm 2016,numeric__Quá hạnVND > 31 tháng 12 năm 2016,numeric__Không kỳ hạnVND > 31 tháng 12 năm 2016,numeric__Đên 01 namVND > 31 tháng 12 năm 2016,numeric__Tư 01 – 05 namVND > 31 tháng 12 năm 2016,numeric__Tren 05 namVND > 31 tháng 12 năm 2016,numeric__Tổng cộngVND > 31 tháng 12 năm 2016
Tổng cộng,TÀI SẢN TÀI CHÍNH > Tổng cộng,Tổng cộng,24.438.942.926,619.565.456.943,9.102.542.267.459,41.007.379.429,-,9.787.554.046.757,24438942926.0,619565456943.0,9102542267459.0,41007379429.0,,9787554046757.0
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,,
Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ,,,,,,,,,,,,
Vay và nợ ngắn hạn,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,-,1.254.340.678.085,3.565.000.000.000,-,-,4.819.340.678.085,,1254340678085.0,3565000000000.0,,,4819340678085.0
Trái phiếu phát hành,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Trái phiếu phát hành,Trái phiếu phát hành,-,-,376.000.000.000,199.651.666.665,-,575.651.666.665,,,376000000000.0,199651666665.0,,575651666665.0
Phải trả hoạt động kinh doanh chứng khoán,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán,-,39.617.787.653,-,-,-,39.617.787.653,,39617787653.0,,,,39617787653.0
Chi phí phải trả,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Chi phí phải trả,Chi phí phải trả,-,62.998.576.869,-,-,-,62.998.576.869,,62998576869.0,,,,62998576869.0
"Phải trả, phải nộp khác","Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Phải trả, phải nộp khác","Phải trả, phải nộp khác",-,300.115.900.807,-,-,-,300.115.900.807,,300115900807.0,,,,300115900807.0
Tổng cộng,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Tổng cộng,Tổng cộng,-,1.657.072.943.414,3.941.000.000.000,199.651.666.665,-,5.797.724.610.079,,1657072943414.0,3941000000000.0,199651666665.0,,5797724610079.0
Mức chênh lệch thanh khoản ròng,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,24.438.942.926,(1.037.507.486.471),5.161.542.267.459,(158.644.287.236),-,3.989.829.436.678,24438942926.0,-1037507486471.0,5161542267459.0,-158644287236.0,,3989829436678.0
