row_label_raw,row_label_full,col_0,31/12/2016 > Tỷ lệ % sở hữu,31/12/2016 > Tỷ lệ % quyền biểu quyết,31/12/2016 > Giá gốc VND,31/12/2016 > Dự phòng VND,31/12/2016 > Giá trị hợp lý VND,1/1/2016 > Tỷ lệ % sở hữu,1/1/2016 > Tỷ lệ % quyền biểu quyết,1/1/2016 > Giá gốc VND,1/1/2016 > Dự phòng VND,numeric__31/12/2016 > Tỷ lệ % sở hữu,numeric__31/12/2016 > Tỷ lệ % quyền biểu quyết,numeric__31/12/2016 > Giá gốc VND,numeric__31/12/2016 > Dự phòng VND,numeric__31/12/2016 > Giá trị hợp lý VND,numeric__1/1/2016 > Tỷ lệ % sở hữu,numeric__1/1/2016 > Tỷ lệ % quyền biểu quyết,numeric__1/1/2016 > Giá gốc VND,numeric__1/1/2016 > Dự phòng VND
Công ty Cổ phần Len Việt Nam,Công ty con > Công ty Cổ phần Len Việt Nam,Công ty Cổ phần Len Việt Nam,"67,15%","67,15%",28.259.101.159,-,(*),"67,15%","67,15%",28.259.101.159,-,0.6715000000000001,0.6715000000000001,28259101159.0,,,0.6715000000000001,0.6715000000000001,28259101159.0,
Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,Công ty con > Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,"61,63%","61,63%",24.852.076.451,-,(*),"61,63%","61,63%",24.852.076.451,-,0.6163000000000001,0.6163000000000001,24852076451.0,,,0.6163000000000001,0.6163000000000001,24852076451.0,
Công ty Cổ phần Bông Việt Nam,Công ty con > Công ty Cổ phần Bông Việt Nam,Công ty Cổ phần Bông Việt Nam,"55,00%","55,00%",24.750.000.000,-,(*),"55,00%","55,00%",24.750.000.000,(2.475.000.000),0.55,0.55,24750000000.0,,,0.55,0.55,24750000000.0,-2475000000.0
Công ty Cổ phần Phát triển Hạ tầng Đệt May Phổ Nội,Công ty con > Công ty Cổ phần Phát triển Hạ tầng Đệt May Phổ Nội,Công ty Cổ phần Phát triển Hạ tầng Đệt May Phổ Nội,"51,00%","51,00%",41.822.531.336,-,(*),"51,00%","51,00%",41.822.531.336,-,0.51,0.51,41822531336.0,,,0.51,0.51,41822531336.0,
Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con > Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty Cổ phần Đầu tư Phát triển Vinatex,"51,00%","51,00%",41.130.079.185,-,(*),"51,00%","51,00%",41.130.079.185,-,0.51,0.51,41130079185.0,,,0.51,0.51,41130079185.0,
Công ty Cổ phần Sự Phú Bài,Công ty con > Công ty Cổ phần Sự Phú Bài,Công ty Cổ phần Sự Phú Bài,"53,85%","53,85%",39.196.265.350,-,(*),"53,85%","53,85%",39.196.265.350,-,0.5385,0.5385,39196265350.0,,,0.5385,0.5385,39196265350.0,
Công ty Cổ phần Đệt May Huế (i),Công ty con > Công ty Cổ phần Đệt May Huế (i),Công ty Cổ phần Đệt May Huế (i),"63,90%","63,90%",181.864.228.000,-,(*),"65,54%","65,54%",150.734.318.000,-,0.639,0.639,181864228000.0,,,0.6554000000000001,0.6554000000000001,150734318000.0,
Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex (ii),Công ty con > Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex (ii),Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex (ii),100%,100%,450.960.807.502,(28.182.006.565),(*),-,-,-,-,1.0,1.0,450960807502.0,-28182006565.0,,,,,
Công ty TNHH Tổng Công ty Đệt May Miền Nam – Vinatex (iii),Công ty con > Công ty TNHH Tổng Công ty Đệt May Miền Nam – Vinatex (iii),Công ty TNHH Tổng Công ty Đệt May Miền Nam – Vinatex (iii),100%,100%,200.592.654.440,(32.722.993.435),(*),-,-,-,-,1.0,1.0,200592654440.0,-32722993435.0,,,,,
,,,,,2.090.422.884.657,(76.700.000.000),,,,1.704.267.511.368,(2.475.000.000),,,2090422884657.0,-76700000000.0,,,,1704267511368.0,-2475000000.0
