row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 09),Nội dung nghiệp vụ,Số cuối năm > VND > 109.114.222.003,Số cuối năm > VND > 1.151.456.607.508,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm > VND > 109.114.222.003,numeric__Số cuối năm > VND > 1.151.456.607.508
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Phải thu tiền khách hàng đặt cọc mua căn hộ và phải thu theo biển bản nhận nợ,Không còn là bên liên quan,112.701.366.836,,,112701366836.0
Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Sunshine Cab,Lãi dự thu từ cổ phần ưu đãi cổ tức,-,63.150.684.560,,,63150684560.0
Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Lãi dự thu từ cổ phần ưu đãi cổ tức,-,54.825.479.450,,,54825479450.0
Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Bất động sản Fulland,"Phải thu lợi nhuận được chia từ Hợp đồng hợp tác kinh doanh, lãi cho vay",Không còn là bên liên quan,21.261.860.268,,,21261860268.0
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Lãi dự thu từ cho vay,-,15.872.645.501,,,15872645501.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Lãi dự thu từ cho vay và phải thu theo biển bản nhận nợ thay chủ sở hữu các căn hộ,-,13.304.032.550,,,13304032550.0
Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty TNHH Kinh doanh dịch vụ Tài Phát,Lãi dự thu từ cho vay,Không còn là bên liên quan,7.956.164.385,,,7956164385.0
Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Xây dựng V-pro,Lãi dự thu từ cho vay,Không còn là bên liên quan,3.041.261.507,,,3041261507.0
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Lãi dự thu từ cho vay,Không còn là bên liên quan,580.000.000,,,580000000.0
Công ty cổ phần Marina 2,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty cổ phần Marina 2,Công ty cổ phần Marina 2,Lãi dự thu từ cho vay,-,518.082.288,,,518082288.0
Phải thu dài hạn khác (Thuyết minh số 09),Công ty Cổ phần Vinaminco Khánh Hòa > Phải thu dài hạn khác (Thuyết minh số 09),Phải thu dài hạn khác (Thuyết minh số 09),,-,400.000.000.000,,,400000000000.0
Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Bất động sản Fulland,Phải thu góp vốn Hợp đồng hợp tác kinh doanh,-,400.000.000.000,,,400000000000.0
