row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,2.419.130,20.336.234,62.430.339,37.354.943,35.251.051,63.636.881,47.764.621,8.532.506,277.725.705,2419130.0,20336234.0,62430339.0,37354943.0,35251051.0,63636881.0,47764621.0,8532506.0,277725705.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,-,-,1.759.226,2.003.648,16.417,2.052,-,-,3.781.343,,,1759226.0,2003648.0,16417.0,2052.0,,,3781343.0
"Tiền gửi và vay các TCTC, TCTD khác","Nợ phải trả > Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,20.406.839,10.991.991,6.386.551,2.655.237,-,-,40.440.618,,,20406839.0,10991991.0,6386551.0,2655237.0,,,40440618.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,64.119.136,27.138.187,35.571.922,26.537.617,14.193.203,1.603,167.561.668,,,64119136.0,27138187.0,35571922.0,26537617.0,14193203.0,1603.0,167561668.0
Các công cu tài chính phải sinh và các tài sản tài chính khác,Nợ phải trả > Các công cu tài chính phải sinh và các tài sản tài chính khác,Các công cu tài chính phải sinh và các tài sản tài chính khác,-,-,541.810,1.100.137,1.793.460,(1.295.253),(2.071.710),-,68.444,,,541810.0,1100137.0,1793460.0,-1295253.0,-2071710.0,,68444.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,164.826,164.823,-,-,-,-,329.649,,,164826.0,164823.0,,,,,329649.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.390.942,2.483.456,8.176.481,7.508.250,5.280.793,-,24.839.922,,,1390942.0,2483456.0,8176481.0,7508250.0,5280793.0,,24839922.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.610.818,-,-,-,-,-,-,6.610.818,,6610818.0,,,,,,,6610818.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.610.818,88.382.779,43.882.242,51.944.831,35.407.903,17.402.286,1.603,243.632.462,,6610818.0,88382779.0,43882242.0,51944831.0,35407903.0,17402286.0,1603.0,243632462.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,2.419.130,13.725.416,(25.952.440),(6.527.299),(16.693.780),28.228.978,30.362.335,8.530.903,34.093.243,2419130.0,13725416.0,-25952440.0,-6527299.0,-16693780.0,28228978.0,30362335.0,8530903.0,34093243.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,-,-,645.517,516.041,(232.061),(929.497),-,-,,,,645517.0,516041.0,-232061.0,-929497.0,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",2.419.130,13.725.416,(25.952.440),(5.881.782),(16.177.739),27.996.917,29.432.838,8.530.903,34.093.243,2419130.0,13725416.0,-25952440.0,-5881782.0,-16177739.0,27996917.0,29432838.0,8530903.0,34093243.0
