row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,12.468.382.357.361,14.284.154.051.094,221.0,12.0,12468382357361.0,14284154051094.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,43.436.073.687.625,42.789.914.076.385,222.0,,43436073687625.0,42789914076385.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,223,,(30.967.691.330.264),(28.505.760.025.291),223.0,,-30967691330264.0,-28505760025291.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,1.278.774.347,2.989.056.098,227.0,13.0,1278774347.0,2989056098.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,22.024.536.282,21.628.536.282,228.0,,22024536282.0,21628536282.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(20.745.761.935),(18.639.480.184),229.0,,-20745761935.0,-18639480184.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,1.685.517.889.556,1.064.574.052.577,240.0,,1685517889556.0,1064574052577.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,14,1.685.517.889.556,1.064.574.052.577,242.0,14.0,1685517889556.0,1064574052577.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,15,2.363.873.976.151,2.413.471.431.733,250.0,15.0,2363873976151.0,2413471431733.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,15.1,60.000.000.000,60.000.000.000,251.0,151.0,60000000000.0,60000000000.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,15.2,2.139.744.434.914,2.189.744.434.914,252.0,152.0,2139744434914.0,2189744434914.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,15.3,234.800.000.000,184.800.000.000,253.0,153.0,234800000000.0,184800000000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(70.670.458.763),(21.073.003.181),254.0,,-70670458763.0,-21073003181.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,233.658.130.082,354.238.168.405,260.0,,233658130082.0,354238168405.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,213.257.506.424,302.252.693.861,261.0,11.0,213257506424.0,302252693861.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,28.3,20.400.623.658,51.985.474.544,262.0,283.0,20400623658.0,51985474544.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,54.518.063.675.716,56.292.375.807.463,270.0,,54518063675716.0,56292375807463.0
